# -*- coding: utf-8 -*-
#
# This file is part of JuliaBase, see http://www.juliabase.org.
# Copyright © 2008–2015 Forschungszentrum Jülich GmbH, Jülich, Germany
#
# This program is free software: you can redistribute it and/or modify it under
# the terms of the GNU Affero General Public License as published by the Free
# Software Foundation, either version 3 of the License, or (at your option) any
# later version.
#
# This program is distributed in the hope that it will be useful, but WITHOUT
# ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS
# FOR A PARTICULAR PURPOSE.  See the GNU Affero General Public License for more
# details.
#
# You should have received a copy of the GNU Affero General Public License
# along with this program.  If not, see <http://www.gnu.org/licenses/>.


quot        "
amp         &
lt          <
gt          >
nbsp         
iexcl       ¡
cent        ¢
pound       £
curren      ¤
yen         ¥
brvbar      ¦
sect        §
uml         ¨
copy        ©
ordf        ª
laquo       «
not         ¬
shy         ­
reg         ®
macr        ¯
deg         °
plusmn      ±
sup2        ²
sup3        ³
acute       ´
micro       µ
para        ¶
middot      ·
cedil       ¸
sup1        ¹
ordm        º
raquo       »
frac14      ¼
frac12      ½
frac34      ¾
iquest      ¿
Agrave      À
Aacute      Á
Acirc       Â
Atilde      Ã
Auml        Ä
Aring       Å
AElig       Æ
Ccedil      Ç
Egrave      È
Eacute      É
Ecirc       Ê
Euml        Ë
Igrave      Ì
Iacute      Í
Icirc       Î
Iuml        Ï
ETH         Ð
Ntilde      Ñ
Ograve      Ò
Oacute      Ó
Ocirc       Ô
Otilde      Õ
Ouml        Ö
times       ×
Oslash      Ø
Ugrave      Ù
Uacute      Ú
Ucirc       Û
Uuml        Ü
Yacute      Ý
THORN       Þ
szlig       ß
agrave      à
aacute      á
acirc       â
atilde      ã
auml        ä
aring       å
aelig       æ
ccedil      ç
egrave      è
eacute      é
ecirc       ê
euml        ë
igrave      ì
iacute      í
icirc       î
iuml        ï
eth         ð
ntilde      ñ
ograve      ò
oacute      ó
ocirc       ô
otilde      õ
ouml        ö
divide      ÷
oslash      ø
ugrave      ù
uacute      ú
ucirc       û
uuml        ü
yacute      ý
thorn       þ
yuml        ÿ
OElig       Œ
oelig       œ
Scaron      Š
scaron      š
Yuml        Ÿ
fnof        ƒ
circ        ˆ
tilde       ˜
Alpha       Α
Beta        Β
Gamma       Γ
Delta       Δ
Epsilon     Ε
Zeta        Ζ
Eta         Η
Theta       Θ
Iota        Ι
Kappa       Κ
Lambda      Λ
Mu          Μ
Nu          Ν
Xi          Ξ
Omicron     Ο
Pi          Π
Rho         Ρ
Sigma       Σ
Tau         Τ
Upsilon     Υ
Phi         Φ
Chi         Χ
Psi         Ψ
Omega       Ω
alpha       α
beta        β
gamma       γ
delta       δ
epsilon     ε
zeta        ζ
eta         η
theta       θ
iota        ι
kappa       κ
lambda      λ
mu          μ
nu          ν
xi          ξ
omicron     ο
pi          π
rho         ρ
sigmaf      ς
sigma       σ
tau         τ
upsilon     υ
phi         φ
chi         χ
psi         ψ
omega       ω
thetasym    ϑ
upsih       ϒ
piv         ϖ
ensp         
emsp         
thinsp       
zwnj        ‌
zwj         ‍
lrm         ‎
rlm         ‏
ndash       –
mdash       —
lsquo       ‘
rsquo       ’
sbquo       ‚
ldquo       “
rdquo       ”
bdquo       „
dagger      †
Dagger      ‡
bull        •
hellip      …
permil      ‰
prime       ′
Prime       ″
lsaquo      ‹
rsaquo      ›
oline       ‾
frasl       ⁄
image       ℑ
weierp      ℘
real        ℜ
trade       ™
alefsym     ℵ
larr        ←
uarr        ↑
rarr        →
darr        ↓
harr        ↔
crarr       ↵
lArr        ⇐
uArr        ⇑
rArr        ⇒
dArr        ⇓
hArr        ⇔
forall      ∀
part        ∂
exist       ∃
empty       ∅
nabla       ∇
isin        ∈
notin       ∉
ni          ∋
prod        ∏
sum         ∑
minus       −
lowast      ∗
radic       √
prop        ∝
infin       ∞
ang         ∠
cap         ∩
cup         ∪
int         ∫
there4      ∴
sim         ∼
cong        ≅
asymp       ≈
ne          ≠
equiv       ≡
le          ≤
ge          ≥
sub         ⊂
sup         ⊃
nsub        ⊄
sube        ⊆
supe        ⊇
oplus       ⊕
otimes      ⊗
perp        ⊥
and         ⊥
or          ⊦
sdot        ⋅
lceil       ⌈
rceil       ⌉
lfloor      ⌊
rfloor      ⌋
lang        〈
rang        〉
loz         ◊
spades      ♠
clubs       ♣
hearts      ♥
diams       ♦
