Nr.	Datum	Operator	Schicht	Kammer	vSubstr LQ	Pendel#	H2	SiH4	SC	TMB	CH4	CO2	PH3	Gas?	Gasfluss	t	p	P	Pump nach	f	del	Ts	Th	Th depo	Subst	Subst	Anzahl	Pr	CL	CT	UDC	Basis p	d	R	?d/d¯	Deplet	R dyn	h	FF	Voc	jsc	Rs	FF rot	jsc rot	FF blau	jsc blau	j0	n	Reflekt	Anneal	sd nT	sd vT/oT	sph	Photosens	Krist (%)	Krist (%)	Sims [O]	Sims [C]	Sims [N]	Sims [B]	Sims [?]	PDS E04	PDS a 1,2	H2	SiH4	TMB	CH4	CO2	PH3		Bemerkung			
					(m/s)	LQ	(sccm)	(sccm)	(%)	(sccm)	(sccm)	(sccm)	(sccm)		(sccm)	(s)	(mbar)	(W)	Schicht (s)	(Hz)	(mm)	(°C)	(°C)	(°C)	Größe	Material	Gläser	(W)			(V)	(mbar)	(nm)	(Å/s)	(%)	(%)	(nm·m/min)	(%)	(%)	(mV)	(mA/cm²)	(W)	(%)	(mA/cm²)	(%)	(mA/cm²)	(mA/cm²)	(-)			(S/cm)	(S/cm)	(S/cm)	(-)	488 nm	647 nm	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(eV)	eV (cm-1)	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm				Größe	Material
																																																			(nach Tempern)	(vor Tempern)	Hell																				10x10	Corning
08D001	03.12.2008			1			300	60	11.03							2400	4	30		13.56					40x40	Fensterglas		0.4	804	129	0.4		385.25	1.6	1.69	15.18386714																												#NV	#NV						380°C Heizer T 1,5 h Carrier aufgeheizt, auf Fensterglas, Homogenitätsversuch,Messungen  auf Mitte		40x40	ZnO
																																																																										
08D002	03.12.2008			1			4000	105	1.6							1680	9	500		13.56					40x40	Fensterglas		0.4	752	129	0.8		1034.25																															#NV	#NV						Schicht abgeplatzt, radiale Inhomogenitäten zu erahnen,		40x40x0,18	Asahi-U
																																																																										
08D003	03.12.2008			1			300	60	11.03							2400	4	31		13.56					10x10	Corning	8	0.4	805	127	0,3-0,7		396.8																		3.93E-11		1.65E-06	4.20E+04										#NV	#NV						8 Stck 10x10 in einem Carrier, Startdruck 10-5mbar, 1h aufgeheizt,9.te vergessen. 08d003-2 --> An J. Hüpkes gegeben		Dummy	Alu-Folie
																																																																										
08D004	03.12.2008			1			4000	105	1.6							120	9	1000		13.56					40x40	Alu-Folie		0.4	752	129	0.8		147.75																															#NV	#NV						40x40 Substrat-Al-Folie,ca.200nm, Inhomogenitäten durch gefaltetes Al, zünden in den Löchern Al-Folie		Übrig	Fensterglas
																																																																										
08D005	03.12.2008			1			4000	105	1.6							300	9	500		13.56					40x40	Alu-Folie		0.4	769	124	0.7		184.69																															#NV	#NV									fz-c-Si
																																																																										sz-c-Si
08D006	04.12.2008			1			2000	31	0.95							600	10	400		13.56					10x10	Asahi-U	9	0.4	734	131	0.7		101.4																															#NV	#NV						ASAHI-U(TCO) Glas, µc-Si AP 3A/s			Übrig
																																																																										
08D007	04.12.2008			1			300	60	11.03							600	4	100		13.56					40x40	Fensterglas		0.4	751	131	0.6		320																															#NV	#NV						Glas, a-Si AP 5A/s			
																																																																										
08D008	04.12.2008			1			2700	42	0.95							600	13	400		13.56					10x10	Asahi-U	9	0.4	732	132	0.3		101.4																															#NV	#NV						Raman: amorph			
																																																																										
08D009	04.12.2008			1			300	60	11.03							600	4	50		13.56					40x40	Fensterglas		0.5	782	128	0.3		160																		7.90E-10		1.42E-07	1.79E+02										#NV	#NV									
																																																																										
08D010	04.12.2008			1			300	60	11.03							600	4	100		13.56					10x10	Corning	9	0.4	757	130	0.4		320																															#NV	#NV									
																																																																										
08d011	09.12.2008			2			300	60	11.03							600	3	100		60					40x40	Alu-Folie		16/6	435	131			640																															#NV	#NV						Statisch in PC2 LQ auf Al- Folie,min.Zündleistung 100W			
																																																																										
08d012	11.12.2008			2			300	60	11.03							600	2	70		60					40x40	Alu-Folie		4.4	433	153			448																															#NV	#NV						Statisch in PC2 LQ auf Al- Folie,min.Zündleistung 100W			
																												4.4	453	133																																									brennt unruhig, zu hoher Druck			
08d013	11.12.2008			2			300	60	11.03							600	1	50		60					40x40	Alu-Folie		10	433	154			320																															#NV	#NV						Statisch in PC2 LQ auf Al- Folie,min.Zündleistung 50W			
																												10	450	155																																												
08d014	12.12.2008			2			300	60	11.03							600	1.5	51		60					40x40	Alu-Folie		10	433	153			326.4																															#NV	#NV						statisch in PC2 LQ auf Al- Folie, Zündleistung 50W			
																		54										12	443	189																																												
08d015	12.12.2008			2			300	60	11.03							100 hübe 0,076m/s	1.5	100		60					40x40	Alu-Folie		30/16	433	133			3520																															#NV	#NV						dynamisch 100 Hübe, Matchboxen manuell, Plasma instabil bei jeder Carrierfahrt (Lücken, etc)			
																		100										30/16	447	142																																												
08d016	17.12.2008			1			4000	105	1.6							600	9	800		13.56					10x10	Asahi-U		0,4	755	126			590.78	9.85	1.694915254	53.394591																												#NV	#NV						"Entladung nach 1min wegen Gasmangel aus, wietere 10 min deponiert; amorph"			
08d017	17.12.2008			1			2700	42	0.95							600	13	800		13.56					10x10	Asahi-U		0,4	741	128			202.56	3.38	3.703703704	45.76750959																												#NV	#NV						Raman 71%			
08d018	17.12.2008			1			300	60	11.03							2400	4	33		13.56					40x40	Fensterglas		0,4	810	125			422.4																		5.12E-10		1.16E-06	2.27E+03										#NV	#NV						Bei 42°C in LC evakuiert, 40min in PC1 geheizt, Fensterglas 3mm, 3*10-6mbar, 388°C			
																																																																										
08d019	18.12.2008			1			300	60	11.03							2400	4	33		13.56					40x40	Fensterglas		0.4	807	126			422.4																		4.83E-10		2.30E-07	4.76E+02										#NV	#NV						15 min mit 380°C geheizt, in LC auf Glas  40°C, evakuiert, 40 min 350°C			
08d020	18.12.2008			1			300	60	11.03							2400	4	33		13.56					40x40	Fensterglas		0.4	806	126			422.4																		1.00E-09		2.70E-05	2.70E+04										#NV	#NV						40 min mit 380°C geheizt, in LC gemessen 70°C,Carrier 86°C, abgekühlt auf 45°C,ca.2h mit 450°C geheizt, 			
																																																																										
08d021	19.12.2008			1			300	60	11.03							2400	4	30		13.56					10x10	Corning	9						406.78	1.69	8.564535585	16.08453056															1.50E-10		2.50E-05	1.67E+05										#NV	#NV						Temp: 1,5h aufgeheizt auf 380 °C, Thermo-Element auf Blech. Temp Glass 180-190 °C			
																																																																										
09d001	16.01.2009			1			340	68	11.03							2400	4	33		13.56					10x10	Corning		1					474	1.98	3.433476395	16.53757588															1.50E-10		3.00E-05	2.00E+05										#NV	#NV						Nur 1,3,5,7,9 bestickt. 60 min aufheizen 430°C (nicht angedrückt). 60 min stabilisieren 430°C (angedrückt)			
																																																																							Am Anfang war H2-Gasfluß ausgefallen (Dauer ~1 min)--> slechte Verdünnung			
09d002	19.01.2009			1			340	68	11.03							2400	4	33		13.56					10x10	Corning		0.4	803	125			465.8	1.94	2.040816327	16.2514828															6.50E-11	4.80E-11	2.30E-05	3.54E+05										#NV	#NV						Soll Heizer 430°C. Carrier 190,5°C, Draht 489,8°C, Heizer 456,1°C. 4 Min Gasfluß: Carrier 178°C.			
																																																																							Ende Deposition: Carrier 185°C, Draht 490,9°C, Heizer 453,3°C.			
09d003	19.01.2009			1			340	68	11.03							2400	4	33		13.56					10x10	Corning							466.6	1.94	3.036876356	16.27939432															2.80E-11	4.20E-11	2.30E-05	8.21E+05										#NV	#NV						Leistung auf 60% begrenzt. Während aufheizen: Heizdraht 705°C!. Tempstreifen: Carriertransportschiene max 143°C.			
																																																																							Carriertemperatur: 190°C (Start Plasma), abgesunken auf 175°C, während Prozess gestiegen bis 185°C			
09d004	20.01.2009			1			340	68	11.03							2400	4	33		13.56					10x10	Corning							452	1.88	4.21286031	15.77000907															3.00E-11	6.60E-11	2.00E-05	6.67E+05										#NV	#NV						Leistung Heizer auf 50% begrenzt! Solltemp Carrier 160°C. Vor Anfang Plasma: Carrier 170°C, Heizdraht 480°C, Heizer 433°C.			
																																																																							5 Min Gasflüsse bei 4mbar --> Carrier 157°C. Am Ende der Deposition: Carrier 170°C.			
09d005	20.01.2009			1			340	68	11.03							2400	4	33		13.56					10x10	Corning							467.8	1.95	4.812834225	16.3212616															2.67E-11	1.20E-10	1.80E-05	6.74E+05										#NV	#NV						Solltemperatur Carrier 200 °C. 5 Min Gasflüsse --> Carrier 180°C. Am Ende der Deposition: Carrier 193°C.			
																																																																							Heizdraht 499°C, Heizer 463°C.			
09d006	21.01.2009			1			3078	47	0.94							600	13	800		13.56					10x10	Asahi-U							342.8	5.71	3.812316716	69.21581989																												#NV	#NV						Solltemperatur Carrier 180°C. Carrier 184°C. Gasflüsse --> Carrier 173°C. Beluftet bei Carriertemp 143°C.			
																																																																										
09d007	23.01.2009			1																13.56					10x10	Asahi-U																																													Substrate Pos 3+5, einer mit Quarzglas-Stückchen für Kristallinitätsmessung.			
																																																																										
09d013	07.04.2009			1			340	68	11.03							2400	4	33		13.56		184			10x10	Corning						2.80E-05	407.33	1.7	5.432098765	14.21161584															3.60E-10		6.64E-05	1.84E+05										#NV	#NV						a-Si Versuch rund 180 °C. Basisdruck vor Prozess 2,8E-5 (schlecht!!!). Heizertemp ging noch hoch: Druck noch schlechter?			
09d014	07.04.2009			1																13.56		180			10x10	Asahi-U																																													µc-Si Versuch fehlgeschlagen. T~180 °C			
																																																																										
09d015	20.04.2009			1			3078	47	0.94							600	13	800		13.56		173	370	370	10x10	Asahi-U	5					2.90E-05	382.25	6.37	7.953063885	77.18129275																			74		5.00E+20	2.50E+20	5.00E+18					#NV	#NV						"µc-Si Versuch Standard 180 °C; 5 Proben. Nummer 1 fehlgeschlagen."			
																																																																										
09d016	21.04.2009			1			3078	25	0.5							1140	13	800		13.56		189.7	350	350	10x10	Asahi-U	5	0.7				2.50E-05	381.8	3.35	2.917771883	76.27895361																			83.72									#NV	#NV						µc-Si Versuch 180°C, SC 0,49%. 5 Proben			
																																																																										
09d017	22.04.2009			1			340	68	11.03							2400	4	33		13.56		195.5	340	345	10x10	Corning	5	0.4	814	124		1.50E-06	460.4	1.92	6.318082789	16.06308004															1.37E-11	3.80E-11	2.13E-05	1.56E+06										#NV	#NV						Übernacht ausgeheizt in PC1, angedrückt 380 °C. a-Si Versuch 200 °C			
																																																																										
09d018	23.04.2009			1			340	68	11.03							2400	4	33		13.56		162	300	300	10x10	Corning	5	0.4	811	126		8.00E-07	449.8	1.87	7.173913043	15.69325239															9.00E-12		1.10E-05	1.22E+06										#NV	#NV						a-Si-Versuch 160 °C. Viel Pulver. Fensterglass Camera bedeckt mit Si-Pulver. Sieht inhomogen aus.			
09d019	23.04.2009			1			3078	66	1.31							420	13	800		13.56		181	350	330	10x10	Asahi-U	5	0.4	752	128	0.4	~2E-5	326.8	7.78	2.769230769	67.1278109																			0									#NV	#NV						µc-Si Versuch 180°C, SC 1,29%. Raman: amorph			
																																																																										
09d020	24.04.2009			1			340	68	11.03							2400	4	33		13.56		177	315	315	10x10	Corning	5	0.4	818	124	0.4	1.50E-06	460.6	1.92	7.810781078	16.07005792															9.90E-12	4.19E-11	1.29E-05	1.31E+06										#NV	#NV						a-Si 180°C. neuer Versuch. Problem mit Matching Anfang (kein Plasma 30s), 30s länger deponiert. Dreckig nach Versuch 09d018			
09d021	24.04.2009			1			3078	47	0.94							600	13	450		13.56		184	350	330	10x10	Asahi-U	5	0.4	755	128	0.4	2.50E-05	274.6	4.58	4.174228675	55.44534464																			2.44									#NV	#NV						µc-Si Versuch 180°C mit 450 W.			
																																																																										
09d022	29.04.2009			1			3078	47	0.94							1500	13	800		13.56			320	320	Übrig	Übrig		3	752	128		6.00E-07																																#NV	#NV						Carrier beschichtet mit ~ 1 µm µc-Si			
09d023	29.04.2009			2			1000	100	5.83							20x pendeln	1.5	100/100		60			220		40x40	Alu-Folie		25/21	449/434	160/149			704																															#NV	#NV						Pendelzahl 20x, 1,5 mbar, 0,02 m/s			
09d024	29.04.2009			2			1000	100	5.83							20x pendeln	1	100/100		60			220		40x40	Alu-Folie		20/ 30	449/434	160/149			704																															#NV	#NV						Pendelzahl 20x, 1,0 mbar, 0,02 m/s			
09d025	29.04.2009			2			1000	100	5.83							20x pendeln	2	100/100		60					40x40	Alu-Folie			449/434	160/149			704																															#NV	#NV						Pendelzahl 20x, 2,0 mbar, 0,02 m/s, viel Pulver --> P verringern			
																																																																										
09d026	04.05.2009			1			3078	36	0.72							780	12.5	800		13.56		180	335	320	10x10	Asahi-U	5	0.5	752	128	0.2	2.10E-05	360.4	4.62	1.939058172	73.08047166																			79.06									#NV	#NV						µc-Si Versuch 180 °C, SC 0,71%			
																																																																										
09d027	05.05.2009			1			1053	129	7.06							600	10	340		13.56		191	340	340	10x10	Corning	5	3	752	128	1.6	1.70E-06	705.2	11.75	8.92733564	51.87821273															6.83E-12	1.28E-11	8.33E-06	1.22E+06			5.00E+18	2.00E+18	4.00E+17					#NV	#NV						a-Si hohe Rate Rezept Dzimitry			
09d028	05.05.2009			1			3078	56	1.11							480	12.5	800		13.56		180.3	335	320	10x10	Asahi-U	5	0.4	752	128		1.60E-06	327	6.81	2.431610942	69.26792069																			22.3		1.00E+20	3.00E+19	1.00E+18					#NV	#NV						µc-Si Versuch 180 °C, SC 1,10%			
																																																																										
09d029	06.05.2009			1			340	68	11.03							2400	4	33		13.56		185.4	330	330	10x10	Corning	5	0.4	819	124		1.30E-06	414.6	1.73	8.02919708	14.46514549															6.83E-12	1.12E-11	1.03E-05	1.51E+06			2.00E+19	2.50E+18	5.00E+17			1.91	15	#NV	#NV						a-Si Versuch 180 °C. Neuer Versuch.			
09d030	06.05.2009			1			3078	47	0.94							600	12.5	450		13.56		181	320	320	10x10	Asahi-U	5	0.4	756	127		3.00E-05	270.6	4.51	3.512014787	54.63769213																			6.4									#NV	#NV						µc-Si 450 W, 12,5 mbar			
																																																																										
09d031	07.05.2009			1			340	68	11.03							2700	4	26		13.56		187	320	320	10x10	Corning	5	0.4	821	124		1.20E-06	344.4	1.28	8.538350217	10.6808085															8.33E-12	1.07E-11	1.08E-05	1.30E+06										#NV	#NV						a-Si 180°C 1,5 A/s.			
09d032	07.05.2009			1			3078	61	1.21							480	12.5	800		13.56		184	320	310	10x10	Asahi-U	3	0.4	754	127		4.00E-06	351.33	7.32	5.218617772	68.32221639																			7.933333333									#NV	#NV						µc-Si SC 1,19%			
																																																																										
09d033	08.05.2009			1			340	98	15.15							1680	4	33		13.56		186.8	320	320	10x10	Corning	5	0.4	811	125		9.70E-07	320.8	1.91	6.832298137	11.09462595															9.38E-12	1.00E-11	5.90E-06	6.29E+05										#NV	#NV						a-Si 180 °C, SC 15%.			
																																																																										
09d034	15.05.2009			1			340	68	11.03							2400	4	33		13.56		179	320	320	40x40	Corning		0.4	819	124	0.3	2.00E-06	446.25	1.86	2.242152466	15.56939502																												#NV	#NV						Std a-Si, Glas 40x40 Corning, 1 mm dick. Abgeplätzt			
																																																																										
09D035	25.05.2009			1			1053	129	10.04							900	10	180		13.56		179.5	330	330	40x40	Corning		0.4	771	129	0.9	8.00E-07	0																															698.696654	77.9724375						Fehlversuch: aus Versehen 1h mit H2 180W geätzt			
																																																																										
09D036	28.05.2009			1			3078	50	0.99							540	12.5	800		13.56		180	350	330	10x10	Asahi-U	3	0.4	757	127	0.2	2.80E-06	316	5.85	2.05371248	79.39986392																			68.7		6.00E+21	3.00E+20	1.00E+19					2627.077118	26.228125						µc-Si SC 0,98%			
																																																																										
09D037	29.05.2009			1			3078	50	0.99							540	12.5	800		13.56		181	340	325	10x10	Corning	9	0.4	765	125	0.1	1.00E-06	327.22	6.06	4.863221884	82.21961999															1.99E-07	3.29E-07	1.05E-05	5.29E+01	75.64444444							2.04	2.3	2627.077118	26.228125						µc-Si SC 0,98%. 1,3,5,7,9=Corning. 2,4,6,8=Ungereinigt. Erst 5' Ar-Plasma 400 sccm 1,3 mbar, 342W CL 830 CT 114.			
09D038	29.05.2009			1			1053	129	10.04							900	10	180		13.56		179	330	330	40x40	Corning		0.4	763	129	0.3	4.50E-06	964.25	10.71	8.372334893	48.89896954																												698.696654	77.9724375						a-Si Dimitry 5 Å/s auf 40x40 1,8 mm dick mit 2 mm Blech. Fehlversuch: Feder abgekommen, inhomogen			
																																																																										
09D039	29.06.2009			1			340	68	10.7							2400	4	33		13.56		180	340	340	10x10	Corning	3	0.4	813	118	0.2	1.40E-06	459.67	1.92	4.772234273	16.58307773															4.50E-11	1.20E-10	1.70E-05	3.78E+05										342.9478	41.10175						a-Si std auf neuem schwarzem Carrier. Mit Rezept gearbeitet			
09D040	29.06.2009			1			340	68	10.7							2400	4	33		13.56		180	340	340	40x40	Corning		2	877	117	0.3		0																															342.9478	41.10175						Fehlgeschlagen. Versuch mit VA-Carrier. Nur am Rand beschichtet.			
																																																																										
09D041	30.06.2009			1			340	68	10.7							750	4	100		13.56		180	340	340	40x40x0,18	Corning		2	824	117	1.6	1.60E-06	408.25	5.44	2.912621359	47.130093															5.18E-12	5.05E-12	5.91E-06	1.14E+06										342.9478	41.10175						"a-Si. 30 Min. 300 °C in LC. Rezept 5 Å/s, std-->Leistung hoch gestellt. Zündung schwierig; effektiv 12,5 Min Plasma"			
																																																																										
09D042	01.07.2009			1			1053	129	10.04							900	10	100		13.56		180	340	340	40x40x0,18	Corning		2	790	121	0.1		603.81	6.71	14.66445733	30.62049162																												698.696654	77.9724375						a-Si. Rezept 5 Å/s Dmitry			
09D043	01.07.2009			1			1053	129	10.04							900	10	100		13.56		180	340	340	10x10	Corning	3	2	782	121	0.1		444.33	4.94	32.28180862	22.53299677																												698.696654	77.9724375						a-Si. Rezept 5 Å/s Dmitry			
																																																																										
09D044	02.07.2009			1			340	68	10.7							2190	4	33		13.56		180	340	340	40x40x0,18	Corning		2	818	118	0.4	1.00E-06	453.88	2.07	1.866081229	17.94425837															1.05E-11	8.68E-11	6.31E-06	5.99E+05								1.89	2.8	342.9478	41.10175						Std a-Si 180°C 40x40. Problemen mit zünden. Mit 200W gezündet, danach auf 33 W. PreProcessWait1=15			
09D045	02.07.2009			1			340	68	10.7							2300	4	33		13.56		200	370	370	40x40x0,18	Corning		2				1.50E-06	513.5	2.23	4.236453202	19.33062868															2.21E-12	1.39E-11	3.26E-06	1.48E+06								1.92	2.3	342.9478	41.10175						Std a-Si 200°C. Problemen mit zünden. Erst auf 200W, danach auf 33W. PreProcessWait=5			
																																																																										
09D046	06.07.2009			1			340	68	10.7							2400	4	33		13.56		180	340	340	10x10	Corning	3					8.00E-07	476.67	1.99	4.255319149	17.19637502															5.47E-12	1.70E-10	7.37E-06	1.35E+06								1.92	2	342.9478	41.10175						Std a-Si 180°C 10x10.			
09D047	06.07.2009			1			3078	50	0.99							600	12.5	800		13.56		180	340	340	10x10	Asahi-U	3					9.00E-07	0																															2627.077118	26.228125						"µc-Si. Fehlversuch. Kurzschluss in Matchbox; beseitigt. Noch Zündversuche mit 33W und 800W."			
																																																																										
09D048	07.07.2009			1			3078	50	0.99							600	12.5	800		13.56		180	340	340	10x10	Asahi-U	3	2/18	766	127	0.1	9.00E-07	387	6.45	4.675324675	87.51573608																			76.7									2627.077118	26.228125						µc-Si 50 sccm SiH4. Plasma nicht stabil. Auf Manual: refl. Leistung von 2W --> 18 W während Depo			
																																																																										
09D049	08.07.2009			1			340	68	10.7							2400	4	33		13.56		180	340	340	10x10	Übrig	4					2.00E-06	477	1.99	0	17.20840046																												342.9478	41.10175						Hüpfzellen a-Si, -1, -5 Asahi-U mit p-Schicht aus LA. -9 Corning zum Vergleich. Auf falscher Seite deponiert.			
																																																																										
09D050	09.07.2009			1			340	68	10.7							2400	4	33		13.56		180	340	340	10x10	Übrig	4					9.00E-07	421	1.75	0	15.18812703		8.11	65.55	742.59	16.65										1.64E-11	5.88E-11	1.48E-05	9.02E+05			5.00E+19	3.00E+18	8.00E+17					342.9478	41.10175						Hüpfzellen a-Si, -1, -5 Asahi-U mit p-Schicht aus LA. -9 Corning zum Vergleich. Dicke gemessen -9. Wirkgrad 8,4% auf ZnO/Ag			
																																																																										
09D051	07.08.2009			1			3078	56	1.27							505	12.5	800		13.56		171			40x40	Corning		1	785	125		2.70E-06	265.63	5.26		55.30189288																												2627.077118	33.8485						µc-Si mit VA-Carrier. Fehlversuch: Glas zersprungen			
																																																																										
09D052	11.08.2009			1			3078	50	0.99							2040	12.5	800		13.56		180	340		10x10	ZnO	5	2	765	125		9.00E-07	1073.04	5.26		71.36942198																												2627.077118	26.228125						µc-Si Hüpfzelle. ZnO auf Corning. 1, 3, 5, 9 mit p-Schicht aus LA. -7 ZnO zum Vergleich. Abgeplatzt. T zu hoch? d~1µm			
																																																																										
09D053	12.08.2009			1			3078	50	0.99							2040	12.5	800		13.56		140	290		10x10	Übrig	2					9.00E-07	1074	5.26	0	71.43327296																												2627.077118	26.228125						µc-Si. -1 ZnO, -9 Asahi-U. Hat nicht abgeplatzt. Auf ZnO kleine Beschädigungen (fängt an abzuplazten?)			
																																																																										
09D054	14.08.2009		µc(i)	1			3078	50	0.99							2460	12.5	800		13.56		140	290		10x10	Übrig	4					9.00E-07	1287	5.23	0.763358779	70.98553749		5.13	63.3	421	19.23	2.9	63.1	9.39	63.5	3.12		1.62	Ag	30' 160°C					83.2	79.1								2627.077118	26.228125						µc-Si Hüpfzelle. ZnO auf Corning. 1, 5, 9 mit p-Schicht aus LA. -4 ZnO zum Vergleich. Abgeplatzt, nur -1 hält noch einigermassen.			
																																																																										
09D055	21.08.2009	AF, JW, TM	a(p)	1			285	47	8.21	6	17					440	4	51		13.56		180	340	340	10x10	Übrig	4					9.00E-07	120.5	2.74	5.042016807	38.28525028																2.06E-05	2.09E-05	1.01E+00								1.93	240	284.43	25.456375	7.716937582	13.4667744				"a-Si (p)-Schicht. Sicherung Generator war raus; deswegen kürzere Depo (7'20"" statt 8'). -1, -5, -9 Corning. -4 Asahi-U"			
																																																																										
09D056	21.08.2009	AF	CO2	1								200					1.5	400		13.56					Dummy	Übrig																																										200			Probleme mit zünden. Deswegen 400W statt 100W. Siehe Logbuch.			
																																																																										
