Nr.	Datum	Operator	Schicht	Kammer	vSubstr LQ	Pendel#	H2	SiH4	SC	TMB	CH4	CO2	PH3	Gas?	Gasfluss	t	p	P	Pump nach	f	del	Ts	Th	Th depo	Subst	Subst	Anzahl	Pr	CL	CT	UDC	Basis p	d	R	?d/d¯	Deplet	R dyn	h	FF	Voc	jsc	Rs	FF rot	jsc rot	FF blau	jsc blau	j0	n	Reflekt	Anneal	sd nT	sd vT/oT	sph	Photosens	Krist (%)	Krist (%)	Sims [O]	Sims [C]	Sims [N]	Sims [B]	Sims [?]	PDS E04	PDS a 1,2	H2	SiH4	TMB	CH4	CO2	PH3		Bemerkung					Hilfe-Spalten					
					(m/s)	LQ	(sccm)	(sccm)	(%)	(sccm)	(sccm)	(sccm)	(sccm)		(sccm)	(s)	(mbar)	(W)	Schicht (s)	(Hz)	(mm)	(°C)	(°C)	(°C)	Größe	Material	Gläser	(W)			(V)	(mbar)	(nm)	(Å/s)	(%)	(%)	(nm·m/min)	(%)	(%)	(mV)	(mA/cm²)	(W)	(%)	(mA/cm²)	(%)	(mA/cm²)	(mA/cm²)	(-)			(S/cm)	(S/cm)	(S/cm)	(-)	488 nm	647 nm	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(eV)	eV (cm-1)	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm				Größe	Material		DS-Zeile	Leitf-Zeile	Cryst-Zeile	Sims-Zeile	PDS-Zeile	Cal-Zeile
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D001	25.01.2010	TZ, AF	a(i)	1			340	68	10.87							1500	4	33		13.56		180		260	10x10	Corning	9	2	803	126	0.2	5.00E-07	274.11	1.83	3.47	15.71																												339.32	41.39						Rahmencarrier 10x10, manuell, einlernen PID		40x40	ZnO		3	#NV	#NV	3	3	14
																																																																									40x40x0,18	Asahi-U		#NV	#NV	#NV	#NV	#NV	#NV
10D002	05.02.2010	TZ, AF	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Corning	9						277.77	1.83		15.71																												339.32	41.39								Dummy	Alu-Folie		#NV	#NV	#NV	#NV	#NV	14
																																																																									Übrig	Fensterglas		#NV	#NV	#NV	#NV	#NV	#NV
10D003	08.02.2010	JW, TM	a(p)	1			285	47	8.21	6	30					50	4	27		13.56		180			10x10	Asahi-U	2					9.00E-07	9	1.8		25.16		8.39	70.8	900	13.17	7.5	72.7	4.15	71.2	2.81	3.04E-09	1.61	Ag-1	30' 160°C														284.43	25.46	7.72	23.76			1,5,9	wie 09D278, 5 min Ar purging after p-, than pumbing up to pb=1x10-5 mbar instead of 9x10-7 mbar before i-layer			fz-c-Si		#NV	#NV	#NV	#NV	#NV	14
10D004	08.02.2010	JW, TM	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	2					1.00E-05	23.58	1.15	2.99	9.89		9.32	71.3	902	14.48	5.7	73.4	5.58	71.2	2.7	2.53E-09	1.58	ZnO/Ag-5	30' 160°C														1029.69	41.39						13 min between p- and i-layer, Note the TS stabilization take the longest time			sz-c-Si		11	#NV	#NV	#NV	#NV	14
10D004	08.02.2010	JW, TM	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	2						286.32	1.88	2.99	16.2		9.29	69.9	902	14.74	6.8	72.7	5.57	71.6	2.77	2.77E-09	1.6	ZnO/Ag-9	30' 160°C														339.32	41.39									Übrig		11	#NV	#NV	#NV	#NV	14
10D004	08.02.2010	JW, TM	a(n)	1			547	91	9.17				23			90	4	34		13.56		180			10x10	Asahi-U	2						16.11	1.79	2.99	11.5																												548.97	55.39				14.18		not good p/i interface					11	#NV	#NV	#NV	#NV	14
10D005	08.02.2010	JW, TM	CO2	1								200				120	6	400		13.56					Dummy	Übrig																																										200			jsc reduced from 15.76 to 14.74mA/cm2					#NV	#NV	#NV	#NV	#NV	14
																																	335																																											#NV	#NV	#NV	#NV	#NV	#NV
10D006	08.02.2010	JW, TM	µc(p)	1			3000	8.6	0.15	0.8						180	12.5	400		13.56		180			10x10	ZnO	2					9.00E-07	20.88	1.16		88.62		2.65	49.9	666	7.99	11.8	47.8	3.65	44.8	0.59	4.00E-08	2.03	Ag-1	30' 160°C														3010.8	4.66	1.03				1,5,9	µc-Si:H 					#NV	#NV	#NV	#NV	#NV	14
10D007	08.02.2010	JW, TM	CO2	1								200				120	6	400		13.56					Dummy	Übrig												2.63	49.3	665	8.04	13	48.4	3.55	43.2	0.65	6.06E-08	2.09	Ag-5	30' 160°C																		200			discharge power reduced from 800 W to 555 W t=42 min to reduce the deposition rate					#NV	#NV	#NV	#NV	#NV	14
10D008	08.02.2010	JW, TM	µc(i)	1			3000	58	1.16							2520	12.5	555		13.56		180			10x10	ZnO	2					9.00E-07	1417.24	5.62	3.11	56.69		2.95	48	700	8.77	15.7	46.4	4.34	44.3	0.63	2.58E-07	2.4	ZnO/Ag-9	30' 160°C														3010.8	35.3						it become a-Si					15	#NV	#NV	#NV	#NV	14
10D009	08.02.2010	JW, TM	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	ZnO	2						15.22	1.79		11.5																												548.97	55.39				14.18		Probably we have some problems with CO2 plasma after n and we have P conatmination ?????					#NV	#NV	#NV	#NV	#NV	14
10D010	08.02.2010	JW, TM	CO2	1								200				120	6	400		13.56					Dummy	Übrig																																										200								#NV	#NV	#NV	#NV	#NV	14
																																	1453.33																																											#NV	#NV	#NV	#NV	#NV	#NV
10D011	09.02.2010	JW	a(p)	1			285	47	8.21	6	30					50	4	27		13.56		180			10x10	Asahi-U	2					9.00E-07	9	1.8		25.16		8.91	71.7	896	13.87	7.3	73.9	4.4	73.9	2.94	3.93E-08	1.84	Ag-1	30' 160°C														284.43	25.46	7.72	23.76			1,5,9	wie 09D278, after p- than pumbing up to  9x10-7 mbar before i-layer					#NV	#NV	#NV	#NV	#NV	14
10D012	09.02.2010	JW	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	2					9.00E-07	23.58	1.15	3.03	9.89		9.09	73.6	894	13.82	6.1	74.9	4.43	74.8	2.92	1.60E-08	1.53	Ag-5	30' 160°C														1029.69	41.39											19	#NV	#NV	#NV	#NV	14
10D012	09.02.2010	JW	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	2						281.32	1.85	3.03	15.91		9.8	71.7	895	15.27	6.4	74.4	5.63	74.5	2.95	1.54E-08	1.53	ZnO/Ag-9	30' 160°C														339.32	41.39						jsc reduced from 15.76   to  15.27 mA/cm2					19	#NV	#NV	#NV	#NV	14
10D012	09.02.2010	JW	a(n)	1			547	91	9.17				23			90	4	34		13.56		180			10x10	Asahi-U	2						16.11	1.79	3.03	11.5																												548.97	55.39				14.18							19	#NV	#NV	#NV	#NV	14
10D013	09.02.2010	JW	CO2	1								200				120	6	400		13.56					Dummy	Übrig																																										200								#NV	#NV	#NV	#NV	#NV	14
																																	330																																											#NV	#NV	#NV	#NV	#NV	#NV
10D014	09.02.2010	JW	µc(p)	1			3000	8.6	0.15	0.8						180	12.5	400		13.56		180			10x10	ZnO	2					9.00E-07	20.88	1.16		88.62		0.11	10	400	2.57																							3010.8	4.66	1.03					µc-Si:H 					#NV	#NV	#NV	#NV	#NV	14
10D015	09.02.2010	JW	CO2	1								200				120	6	400		13.56					Dummy	Übrig																																										200								#NV	#NV	#NV	#NV	#NV	14
10D016	09.02.2010	JW	µc(i)	1			3000	42	0.75							2940	12.5	555		13.56		180			10x10	ZnO	2					9.00E-07	1143.91	3.89	0	60.87																												3010.8	22.75						Problem with CO2 plasma, the carrier did not move out from PC1 so we have CO2 plasma on the n-layer					23	#NV	#NV	#NV	#NV	14
10D017	09.02.2010	JW	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	ZnO	2						15.22	1.79		11.5																												548.97	55.39				14.18		????? CO2 plasma 					#NV	#NV	#NV	#NV	#NV	14
10D018	09.02.2010	JW	CO2	1								200				120	6	400		13.56					Dummy	Übrig																																										200								#NV	#NV	#NV	#NV	#NV	14
																																																																																	
10D019	10.02.2010	JW, TM	µc(p)	1			3000	8.6	0.15	0.8						180	12.5	400		13.56		180			10x10	ZnO	2					9.00E-07	20.88	1.16		88.62		5.7	66.2	437	19.72	3.2	66.2	9.93	65	3.12	9.91E-05	1.4	Ag-1	30' 160°C														3010.8	4.66	1.03				1,9	µc-Si:H 					#N/A	#N/A	#N/A	#N/A	#N/A	14
10D020	10.02.2010	JW, TM	CO2	1								200				120	6	400		13.56					Dummy	Übrig												7.31	65.7	457	24.33	2.6	65.7	14.14	65.7	3.18			ZnO/Ag-9	30' 160°C																		200			P = 555 W, SiH4 = 42sccm					#N/A	#N/A	#N/A	#N/A	#N/A	14
10D021	10.02.2010	JW, TM	µc(i)	1			3000	42	0.75							2940	12.5	555		13.56		180			10x10	ZnO	2					9.00E-07	1178.91	4.01	2.06	62.73																												3010.8	22.75						rd= 4.13 A/s					27	#N/A	#N/A	#N/A	#N/A	14
10D022	10.02.2010	JW, TM	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	ZnO	2						15.22	1.79		11.5																												548.97	55.39				14.18							#N/A	#N/A	#N/A	#N/A	#N/A	14
10D023	10.02.2010	JW, TM	CO2	1								200				120	6	400		13.56					Dummy	Übrig																																										200								#N/A	#N/A	#N/A	#N/A	#N/A	14
																																	1215																																											#NV	#NV	#NV	#NV	#NV	#NV
10D024	11.02.2010	TM, JW, AF	a(p)	1			285	47	8.21	6	30					50	4	27		13.56		180			10x10	Asahi-U	2					9.00E-07	9	1.8		25.16		9.18	72.6	904	13.99	5.9	74.4	4.38	76.2	2.98	1.15E-09	1.52	Ag-1	30' 160°C														284.43	25.46	7.72	23.76			1,9	a-Si:H with CO2 plasma after p-					#NV	#NV	#NV	#NV	#NV	14
10D025	11.02.2010	TM, JW, AF	CO2	1								200				120	6	400		13.56					Dummy	Übrig		2	859	120	7.9							10.03	73.7	897	15.24	5.7	75	5.5	76.1	2.96	1.02E-09	1.5	ZnO/Ag-9	30' 160°C																		200			wie 09D. CO2 zündete schwierig, flackert					#NV	#NV	#NV	#NV	#NV	14
10D026	11.02.2010	TM, JW, AF	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	2					9.00E-07	23.58	1.15		9.89																												1029.69	41.39						Substrattemperatur hat ungefähr 2°C untergeschwankt					#NV	#NV	#NV	#NV	#NV	14
10D027	11.02.2010	TM, JW, AF	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	2																																					339.32	41.39											#NV	#NV	#NV	#NV	#NV	14
10D028	11.02.2010	TM, JW, AF	a(n)	1			547	91	9.17				23			90	4	34		13.56		180			10x10	Asahi-U	2						16.11	1.79		11.5																												548.97	55.39				14.18							#NV	#NV	#NV	#NV	#NV	14
10D029	11.02.2010	TM, JW, AF	CO2	1								200				120	6	400		13.56					Dummy	Übrig		2	853	123	12.2																																					200								#NV	#NV	#NV	#NV	#NV	14
																																																																																	
10D030	12.02.2010	TZ, AF	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	5						23.58	1.15		9.89		9.25	72.5	910	14.02	6.5	74.1	4.57	76.4	2.91	1.87E-09	1.58	Ag-3	30' 160°C														1029.69	41.39					3,5,9	Schnelle T-Stabilisierung bei i-Schicht!					#N/A	#N/A	#N/A	#N/A	#N/A	14
10D030	12.02.2010	TZ, AF	a(i)	1			340	68	10.87							1520	4	33		13.56		180		273	10x10	Asahi-U	5	2	817	124	0.1	9.00E-07	306.42	2.02	2.95	17.33		9.29	74	892	14.06	5.5	75.1	4.78	76.5	2.86	9.94E-10	1.5	Ag-5	30' 160°C														339.32	41.39						Delta Voc = 29 mV					35	#N/A	#N/A	#N/A	#N/A	14
10D031	12.02.2010	TZ, AF	a(n)	1			547	91	9.17				23			90	4	34		13.56		180			10x10	Asahi-U	5	2	780	128	0.1		16.11	1.79		11.5		9.34	72.8	908	14.14	6.1	74.2	4.68	76.3	2.94	2.11E-09	1.6	Ag-9	30' 160°C														548.97	55.39				14.18							#N/A	#N/A	#N/A	#N/A	#N/A	14
10D032	12.02.2010	TZ, AF	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200								#N/A	#N/A	#N/A	#N/A	#N/A	14
																#BEZUG!																	#BEZUG!																																											#NV	#NV	#NV	#NV	#NV	#NV
10D033	16.02.2010	TM, JW	µc(p)	1			3000	8.6	0.15	0.8						180	12.5	400		13.56		180			10x10	ZnO	2					9.00E-07	20.88	1.16		88.62		6.67	68.9	510	19.01	3	70	10.49	67.9	2.44	3.75E-06	1.28	Ag-1	30' 160°C														3010.8	4.66	1.03				1,9	SiH4=50 sccm gross mass flow controller					#NV	#NV	#NV	#NV	#NV	14
10D034	16.02.2010	TM, JW	CO2	1								200				120	6	180		13.56					Dummy	Übrig												7.57	66.9	518	21.83	3.1	69.8	12.77	66.9	2.52	3.52E-06	1.29	ZnO/Ag-9	30' 160°C																		200			NOTE: The pirometer was not working proparly the TS was higher than 180 °C					#NV	#NV	#NV	#NV	#NV	14
10D035	16.02.2010	TM, JW	µc(i)	1			3000	50	0.89							2640	12.5	555		13.56		180			10x10	ZnO	2					9.00E-07	1446.41	5.48	1.52	72																												3010.8	27.08						the cell will be repeted					39	#NV	#NV	#NV	#NV	14
10D036	16.02.2010	TM, JW	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	ZnO	2						15.22	1.79		11.5																												548.97	55.39				14.18							#NV	#NV	#NV	#NV	#NV	14
10D037	16.02.2010	TM, JW	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										200								#NV	#NV	#NV	#NV	#NV	14
																																	1482.5																																											#NV	#NV	#NV	#NV	#NV	#NV
10D038	17.02.2010	TM, JW	µc(p)	1			3000	8.6	0.15	0.8						180	12.5	400		13.56		180			10x10	ZnO	2					9.00E-07	20.88	1.16		88.62		7.1	70.6	517	19.46	3	71.8	9.92	69.7	2.85	1.74E-05	1.44	Ag-1	30' 160°C														3010.8	4.66	1.03				1,9	Wdh. Von 10D033					#NV	#NV	#NV	#NV	#NV	14
