# Number: 3
# Timestamp: 2014-10-07 10:03:00
# Operator: n.burkhardt
# Comments:
# Sample: 14-JS-3
# Apparatus: 1
# ----------------------------------------------------------------------
# energy/eV     absorption/cm^-1
0.80000 13.29093
0.82000 38.51027
0.84000 14.87270
0.86000 39.38084
0.88000 33.06764
0.90000 24.71160
0.92000 33.04159
0.94000 22.36668
0.96000 41.98519
0.98000 34.85218
1.00000 31.73718
1.02000 33.25821
1.04000 42.83918
1.06000 40.01460
1.08000 38.50383
1.10000 20.68478
1.12000 36.09105
1.14000 30.74678
1.16000 38.67246
1.18000 19.10559
1.20000 24.77332
1.22000 39.18391
1.24000 40.46126
1.26000 46.44689
1.28000 32.56967
1.30000 42.87240
1.32000 65.82159
1.34000 64.59259
1.36000 74.06525
1.38000 74.35858
1.40000 89.22532
1.42000 101.59816
1.44000 135.34173
1.46000 141.64436
1.48000 161.31735
1.50000 192.60997
1.52000 235.64975
1.54000 289.93530
1.56000 356.91328
1.58000 404.65795
1.60000 503.82494
1.62000 589.79196
1.64000 716.02747
1.66000 864.19436
1.68000 1004.51698
1.70000 1198.53306
1.72000 1441.36333
1.74000 1688.78369
1.76000 1994.56164
1.78000 2333.71767
1.80000 2713.48370
1.82000 3106.02762
1.84000 3552.53455
1.86000 4013.04973
1.88000 4518.88223
1.90000 5023.62519
1.92000 5495.79790
1.94000 5985.01167
1.96000 6474.64267
1.98000 6902.23846
2.00000 7326.09865
2.02000 7702.43614
2.04000 8051.56863
2.06000 8325.94134
2.08000 8612.98087
2.10000 8814.46374
2.12000 9015.16221
2.14000 9177.71890
2.16000 9320.59671
2.18000 9464.45815
2.20000 9557.94970
2.22000 9641.50355
2.24000 9701.02714
2.26000 9772.45578
2.28000 9811.42816
2.30000 9848.30556
2.32000 9870.40317
2.34000 9891.21319
2.36000 9939.90510
2.38000 9929.71172
2.40000 9968.19737
2.42000 9971.82943
2.44000 9990.52411
2.46000 9984.69382
2.48000 9982.18852
