# Timestamp: 2014-10-08 10:01:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-1
# Layout: inm standard
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 4 7 9 10 11 12 13 16 17 18 21 22 23 24 26 31 33 35 36
# Areas: 1.0 0.5 0.1 0.1 0.1 0.1 0.5 1.0 1.0 1.0 0.1 0.1 0.1 0.1 0.5 1.0 0.5 1.0 0.5
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.10000 -0.00540 -0.00126 -0.00078 -0.00067 -0.00079 -0.00120 -0.00325 -0.01474 -0.00906 -0.01226 -0.00136 -0.00092 -0.00091 -0.00083 -0.00505 -0.00590 -0.00373 -0.00654 -0.00282
-0.09000 -0.00522 -0.00135 -0.00085 -0.00059 -0.00084 -0.00115 -0.00297 -0.01417 -0.00813 -0.01217 -0.00110 -0.00105 -0.00094 -0.00081 -0.00645 -0.00728 -0.00449 -0.00624 -0.00314
-0.08000 -0.00508 -0.00111 -0.00071 -0.00060 -0.00074 -0.00096 -0.00310 -0.01830 -0.00847 -0.01222 -0.00125 -0.00091 -0.00087 -0.00095 -0.00543 -0.00585 -0.00378 -0.00680 -0.00283
-0.07000 -0.00442 -0.00124 -0.00066 -0.00066 -0.00068 -0.00108 -0.00313 -0.01462 -0.00832 -0.01143 -0.00117 -0.00090 -0.00116 -0.00097 -0.00582 -0.00623 -0.00422 -0.00650 -0.00324
-0.06000 -0.00464 -0.00100 -0.00086 -0.00054 -0.00070 -0.00110 -0.00329 -0.01750 -0.00840 -0.01211 -0.00118 -0.00111 -0.00092 -0.00092 -0.00632 -0.00775 -0.00352 -0.00743 -0.00349
-0.05000 -0.00462 -0.00103 -0.00086 -0.00069 -0.00083 -0.00109 -0.00282 -0.01562 -0.00933 -0.01136 -0.00139 -0.00102 -0.00098 -0.00087 -0.00577 -0.00685 -0.00383 -0.00614 -0.00326
-0.04000 -0.00435 -0.00132 -0.00072 -0.00066 -0.00074 -0.00107 -0.00276 -0.01671 -0.01010 -0.01124 -0.00117 -0.00104 -0.00111 -0.00082 -0.00632 -0.00651 -0.00458 -0.00755 -0.00316
-0.03000 -0.00476 -0.00101 -0.00084 -0.00055 -0.00066 -0.00093 -0.00313 -0.01742 -0.00897 -0.01240 -0.00125 -0.00114 -0.00105 -0.00079 -0.00546 -0.00618 -0.00390 -0.00650 -0.00348
-0.02000 -0.00574 -0.00103 -0.00075 -0.00060 -0.00067 -0.00105 -0.00322 -0.01617 -0.00832 -0.01182 -0.00127 -0.00091 -0.00102 -0.00083 -0.00510 -0.00581 -0.00367 -0.00646 -0.00353
-0.01000 -0.00571 -0.00127 -0.00075 -0.00064 -0.00077 -0.00099 -0.00353 -0.01467 -0.00850 -0.01147 -0.00145 -0.00117 -0.00087 -0.00092 -0.00638 -0.00598 -0.00382 -0.00721 -0.00323
-0.00000 -0.00444 -0.00104 -0.00066 -0.00054 -0.00078 -0.00102 -0.00303 -0.01776 -0.00813 -0.00969 -0.00144 -0.00091 -0.00114 -0.00085 -0.00506 -0.00579 -0.00364 -0.00686 -0.00286
0.01000 -0.00548 -0.00116 -0.00085 -0.00055 -0.00076 -0.00112 -0.00365 -0.01652 -0.00924 -0.01140 -0.00130 -0.00092 -0.00114 -0.00092 -0.00540 -0.00589 -0.00429 -0.00748 -0.00284
0.02000 -0.00455 -0.00129 -0.00066 -0.00055 -0.00078 -0.00119 -0.00370 -0.01485 -0.00818 -0.00991 -0.00137 -0.00113 -0.00095 -0.00097 -0.00621 -0.00598 -0.00391 -0.00590 -0.00276
