# Timestamp: 2014-10-08 10:10:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-6
# Layout: inm standard
# Irradiation: BG7
# Temperature: 23.5
# Positions: 1 2 4 6 13 16 17 18 22 24 26 29 32
# Areas: 1.0 1.0 1.0 1.0 0.5 1.0 1.0 1.0 0.1 0.1 0.5 1.0 1.0
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.10000 -0.00196 -0.00132 -0.00162 -0.00123 -0.00057 -0.00168 -0.00214 -0.00101 -0.00044 -0.00018 -0.00158 -0.00226 -0.00211
-0.09000 -0.00235 -0.00131 -0.00154 -0.00139 -0.00070 -0.00121 -0.00232 -0.00115 -0.00039 -0.00017 -0.00135 -0.00200 -0.00221
-0.08000 -0.00253 -0.00142 -0.00163 -0.00145 -0.00082 -0.00137 -0.00235 -0.00129 -0.00035 -0.00019 -0.00135 -0.00181 -0.00266
-0.07000 -0.00200 -0.00132 -0.00181 -0.00100 -0.00070 -0.00149 -0.00244 -0.00115 -0.00035 -0.00013 -0.00127 -0.00210 -0.00253
-0.06000 -0.00246 -0.00153 -0.00156 -0.00099 -0.00085 -0.00147 -0.00201 -0.00104 -0.00040 -0.00019 -0.00118 -0.00192 -0.00283
-0.05000 -0.00215 -0.00130 -0.00184 -0.00145 -0.00058 -0.00131 -0.00229 -0.00089 -0.00047 -0.00014 -0.00138 -0.00175 -0.00229
-0.04000 -0.00203 -0.00131 -0.00161 -0.00107 -0.00088 -0.00161 -0.00250 -0.00101 -0.00038 -0.00015 -0.00162 -0.00178 -0.00220
-0.03000 -0.00237 -0.00160 -0.00170 -0.00119 -0.00084 -0.00145 -0.00195 -0.00108 -0.00036 -0.00018 -0.00129 -0.00193 -0.00226
-0.02000 -0.00231 -0.00153 -0.00167 -0.00131 -0.00061 -0.00163 -0.00212 -0.00127 -0.00035 -0.00019 -0.00157 -0.00200 -0.00213
-0.01000 -0.00226 -0.00158 -0.00189 -0.00113 -0.00072 -0.00149 -0.00225 -0.00092 -0.00034 -0.00014 -0.00137 -0.00159 -0.00267
-0.00000 -0.00257 -0.00180 -0.00171 -0.00132 -0.00085 -0.00148 -0.00184 -0.00099 -0.00038 -0.00018 -0.00125 -0.00212 -0.00259
0.01000 -0.00231 -0.00156 -0.00214 -0.00114 -0.00061 -0.00186 -0.00216 -0.00081 -0.00036 -0.00018 -0.00145 -0.00170 -0.00250
0.02000 -0.00251 -0.00138 -0.00180 -0.00133 -0.00081 -0.00145 -0.00188 -0.00086 -0.00037 -0.00018 -0.00122 -0.00232 -0.00270
