# Timestamp: 2014-10-08 10:13:00
# Operator: r.calvert
# Comments: There was a *small* crack in the filter.  Note that $I_{\mathrm{sc}}$ is actually$J_{\mathrm{sc}} = \frac{I_{\mathrm{sc}}}{A}$.
# Sample: 14S-002
# Layout: acme1
# Irradiation: BG7
# Temperature: 23.5
# Positions: 1A 1B 1C 2A 2C 2D 3A 3C 3D 4A 4B 4C 4D
# Areas: 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999 0.15209999999999999
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.10000 -0.00020 -0.00008 -0.00025 -0.00021 -0.00048 -0.00033 -0.00017 -0.00017 -0.00015 -0.00034 -0.00059 -0.00027 -0.00043
-0.09000 -0.00020 -0.00008 -0.00020 -0.00029 -0.00047 -0.00037 -0.00013 -0.00016 -0.00014 -0.00036 -0.00047 -0.00034 -0.00045
-0.08000 -0.00021 -0.00010 -0.00024 -0.00024 -0.00049 -0.00035 -0.00016 -0.00013 -0.00016 -0.00036 -0.00051 -0.00023 -0.00051
-0.07000 -0.00022 -0.00010 -0.00021 -0.00025 -0.00057 -0.00031 -0.00018 -0.00015 -0.00014 -0.00037 -0.00050 -0.00026 -0.00047
-0.06000 -0.00022 -0.00009 -0.00023 -0.00021 -0.00043 -0.00032 -0.00018 -0.00012 -0.00016 -0.00032 -0.00048 -0.00027 -0.00052
-0.05000 -0.00022 -0.00010 -0.00020 -0.00024 -0.00058 -0.00032 -0.00016 -0.00013 -0.00013 -0.00039 -0.00046 -0.00026 -0.00060
-0.04000 -0.00020 -0.00008 -0.00022 -0.00025 -0.00046 -0.00036 -0.00014 -0.00015 -0.00014 -0.00038 -0.00041 -0.00022 -0.00045
-0.03000 -0.00022 -0.00010 -0.00022 -0.00026 -0.00051 -0.00030 -0.00015 -0.00014 -0.00019 -0.00035 -0.00052 -0.00029 -0.00043
-0.02000 -0.00020 -0.00009 -0.00023 -0.00019 -0.00055 -0.00030 -0.00015 -0.00013 -0.00018 -0.00040 -0.00045 -0.00024 -0.00049
-0.01000 -0.00019 -0.00009 -0.00024 -0.00027 -0.00060 -0.00033 -0.00015 -0.00013 -0.00015 -0.00038 -0.00044 -0.00035 -0.00055
-0.00000 -0.00023 -0.00008 -0.00027 -0.00022 -0.00047 -0.00031 -0.00016 -0.00017 -0.00017 -0.00039 -0.00054 -0.00031 -0.00056
0.01000 -0.00019 -0.00009 -0.00025 -0.00023 -0.00046 -0.00036 -0.00017 -0.00013 -0.00017 -0.00040 -0.00049 -0.00027 -0.00042
0.02000 -0.00019 -0.00009 -0.00024 -0.00020 -0.00055 -0.00030 -0.00015 -0.00016 -0.00014 -0.00029 -0.00054 -0.00022 -0.00050
0.03000 -0.00018 -0.00009 -0.00025 -0.00023 -0.00050 -0.00036 -0.00015 -0.00015 -0.00018 -0.00036 -0.00050 -0.00025 -0.00054
0.04000 -0.00019 -0.00008 -0.00022 -0.00023 -0.00050 -0.00035 -0.00015 -0.00015 -0.00016 -0.00035 -0.00048 -0.00023 -0.00049
0.05000 -0.00017 -0.00008 -0.00020 -0.00026 -0.00053 -0.00035 -0.00014 -0.00016 -0.00015 -0.00033 -0.00052 -0.00026 -0.00047
0.06000 -0.00022 -0.00008 -0.00019 -0.00024 -0.00044 -0.00039 -0.00017 -0.00012 -0.00015 -0.00039 -0.00052 -0.00026 -0.00047
0.07000 -0.00019 -0.00008 -0.00023 -0.00027 -0.00051 -0.00037 -0.00016 -0.00013 -0.00018 -0.00031 -0.00041 -0.00029 -0.00059
0.08000 -0.00020 -0.00009 -0.00025 -0.00025 -0.00047 -0.00028 -0.00016 -0.00013 -0.00015 -0.00039 -0.00041 -0.00029 -0.00052
0.09000 -0.00017 -0.00008 -0.00025 -0.00025 -0.00054 -0.00031 -0.00015 -0.00014 -0.00018 -0.00033 -0.00052 -0.00024 -0.00043
0.10000 -0.00021 -0.00009 -0.00021 -0.00020 -0.00056 -0.00037 -0.00017 -0.00012 -0.00015 -0.00035 -0.00049 -0.00030 -0.00045
0.11000 -0.00021 -0.00010 -0.00026 -0.00026 -0.00058 -0.00038 -0.00014 -0.00016 -0.00016 -0.00034 -0.00047 -0.00025 -0.00050
0.12000 -0.00023 -0.00008 -0.00027 -0.00023 -0.00047 -0.00034 -0.00015 -0.00014 -0.00015 -0.00035 -0.00047 -0.00024 -0.00039
0.13000 -0.00024 -0.00008 -0.00026 -0.00027 -0.00055 -0.00031 -0.00019 -0.00015 -0.00016 -0.00036 -0.00042 -0.00022 -0.00053
0.14000 -0.00018 -0.00009 -0.00029 -0.00024 -0.00059 -0.00036 -0.00018 -0.00014 -0.00017 -0.00030 -0.00055 -0.00024 -0.00059
0.15000 -0.00016 -0.00010 -0.00026 -0.00024 -0.00056 -0.00033 -0.00016 -0.00013 -0.00019 -0.00032 -0.00054 -0.00029 -0.00045
0.16000 -0.00019 -0.00008 -0.00026 -0.00025 -0.00052 -0.00034 -0.00017 -0.00012 -0.00016 -0.00037 -0.00046 -0.00026 -0.00054
