# Timestamp: 2014-10-08 10:18:00
# Operator: r.calvert
# Comments: Click on cells to change data.
# Sample: 14S-005
# Layout: acme1
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 1A 1B 1D 2B 2D 3A 3B 3C 4A 4B 4C 4D
# Areas: 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999 0.15209999999999999
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.10000 -0.00075 -0.00038 -0.00067 -0.00086 -0.00065 -0.00089 -0.00074 -0.00062 -0.00109 -0.00208 -0.00208 -0.00169
-0.09000 -0.00068 -0.00042 -0.00082 -0.00083 -0.00062 -0.00100 -0.00076 -0.00051 -0.00088 -0.00222 -0.00192 -0.00185
-0.08000 -0.00069 -0.00037 -0.00064 -0.00095 -0.00082 -0.00112 -0.00063 -0.00059 -0.00100 -0.00223 -0.00191 -0.00192
-0.07000 -0.00076 -0.00044 -0.00073 -0.00092 -0.00075 -0.00094 -0.00068 -0.00058 -0.00098 -0.00180 -0.00219 -0.00160
-0.06000 -0.00085 -0.00039 -0.00075 -0.00093 -0.00081 -0.00094 -0.00077 -0.00062 -0.00097 -0.00219 -0.00196 -0.00183
-0.05000 -0.00080 -0.00043 -0.00072 -0.00095 -0.00080 -0.00090 -0.00074 -0.00047 -0.00089 -0.00222 -0.00242 -0.00168
-0.04000 -0.00070 -0.00048 -0.00081 -0.00090 -0.00072 -0.00095 -0.00078 -0.00052 -0.00096 -0.00193 -0.00194 -0.00162
-0.03000 -0.00064 -0.00045 -0.00080 -0.00100 -0.00073 -0.00100 -0.00069 -0.00055 -0.00100 -0.00185 -0.00225 -0.00207
-0.02000 -0.00082 -0.00042 -0.00064 -0.00096 -0.00079 -0.00104 -0.00074 -0.00050 -0.00105 -0.00171 -0.00195 -0.00182
-0.01000 -0.00071 -0.00037 -0.00077 -0.00083 -0.00071 -0.00104 -0.00066 -0.00049 -0.00095 -0.00213 -0.00218 -0.00172
-0.00000 -0.00066 -0.00044 -0.00084 -0.00075 -0.00081 -0.00108 -0.00084 -0.00046 -0.00093 -0.00186 -0.00226 -0.00156
0.01000 -0.00066 -0.00040 -0.00080 -0.00096 -0.00073 -0.00100 -0.00064 -0.00055 -0.00082 -0.00187 -0.00210 -0.00177
0.02000 -0.00070 -0.00040 -0.00074 -0.00077 -0.00074 -0.00111 -0.00083 -0.00051 -0.00101 -0.00211 -0.00210 -0.00177
0.03000 -0.00069 -0.00042 -0.00080 -0.00089 -0.00078 -0.00103 -0.00066 -0.00053 -0.00102 -0.00211 -0.00218 -0.00201
0.04000 -0.00077 -0.00042 -0.00068 -0.00075 -0.00064 -0.00098 -0.00068 -0.00046 -0.00089 -0.00206 -0.00219 -0.00203
0.05000 -0.00072 -0.00043 -0.00069 -0.00093 -0.00076 -0.00095 -0.00067 -0.00057 -0.00087 -0.00173 -0.00220 -0.00201
0.06000 -0.00071 -0.00042 -0.00084 -0.00088 -0.00079 -0.00098 -0.00083 -0.00047 -0.00107 -0.00214 -0.00251 -0.00148
0.07000 -0.00071 -0.00048 -0.00075 -0.00086 -0.00077 -0.00110 -0.00083 -0.00049 -0.00081 -0.00218 -0.00226 -0.00173
0.08000 -0.00084 -0.00041 -0.00066 -0.00080 -0.00079 -0.00089 -0.00076 -0.00052 -0.00094 -0.00208 -0.00212 -0.00179
0.09000 -0.00064 -0.00043 -0.00074 -0.00090 -0.00073 -0.00085 -0.00070 -0.00056 -0.00081 -0.00181 -0.00193 -0.00188
0.10000 -0.00076 -0.00044 -0.00067 -0.00097 -0.00065 -0.00110 -0.00064 -0.00049 -0.00093 -0.00186 -0.00242 -0.00197
0.11000 -0.00069 -0.00048 -0.00081 -0.00074 -0.00067 -0.00085 -0.00069 -0.00051 -0.00104 -0.00196 -0.00245 -0.00197
0.12000 -0.00075 -0.00037 -0.00068 -0.00089 -0.00079 -0.00108 -0.00073 -0.00059 -0.00088 -0.00201 -0.00236 -0.00174
0.13000 -0.00072 -0.00041 -0.00075 -0.00096 -0.00078 -0.00090 -0.00063 -0.00059 -0.00106 -0.00196 -0.00206 -0.00149
0.14000 -0.00077 -0.00042 -0.00077 -0.00092 -0.00083 -0.00110 -0.00068 -0.00061 -0.00103 -0.00191 -0.00253 -0.00181
0.15000 -0.00076 -0.00043 -0.00067 -0.00079 -0.00078 -0.00098 -0.00083 -0.00049 -0.00101 -0.00181 -0.00255 -0.00161
0.16000 -0.00079 -0.00037 -0.00084 -0.00085 -0.00073 -0.00100 -0.00063 -0.00062 -0.00088 -0.00217 -0.00233 -0.00187
0.17000 -0.00068 -0.00043 -0.00075 -0.00075 -0.00076 -0.00086 -0.00081 -0.00054 -0.00101 -0.00215 -0.00202 -0.00170
0.18000 -0.00079 -0.00047 -0.00072 -0.00100 -0.00069 -0.00091 -0.00072 -0.00060 -0.00100 -0.00203 -0.00234 -0.00159
0.19000 -0.00082 -0.00046 -0.00072 -0.00092 -0.00072 -0.00099 -0.00066 -0.00050 -0.00093 -0.00174 -0.00232 -0.00196
0.20000 -0.00078 -0.00044 -0.00071 -0.00080 -0.00074 -0.00099 -0.00077 -0.00054 -0.00083 -0.00185 -0.00196 -0.00142
0.21000 -0.00075 -0.00049 -0.00066 -0.00093 -0.00062 -0.00100 -0.00067 -0.00049 -0.00107 -0.00196 -0.00190 -0.00188
0.22000 -0.00083 -0.00046 -0.00065 -0.00083 -0.00081 -0.00109 -0.00082 -0.00058 -0.00081 -0.00201 -0.00209 -0.00176
0.23000 -0.00065 -0.00044 -0.00066 -0.00087 -0.00062 -0.00083 -0.00075 -0.00048 -0.00090 -0.00171 -0.00188 -0.00178
0.24000 -0.00076 -0.00047 -0.00077 -0.00081 -0.00073 -0.00095 -0.00070 -0.00061 -0.00095 -0.00206 -0.00218 -0.00175
0.25000 -0.00076 -0.00039 -0.00074 -0.00099 -0.00078 -0.00109 -0.00078 -0.00049 -0.00098 -0.00219 -0.00226 -0.00175
0.26000 -0.00074 -0.00042 -0.00063 -0.00074 -0.00069 -0.00087 -0.00073 -0.00058 -0.00081 -0.00212 -0.00254 -0.00167
