# Timestamp: 2014-10-08 10:19:00
# Operator: r.calvert
# Comments: Click on cells to change data.
# Sample: 14S-006
# Layout: acme1
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 1B 1C 1D 2A 2B 2D 3A 3C 3D 4A 4B 4C
# Areas: 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.10000 -0.00110 -0.00045 -0.00079 -0.00175 -0.00195 -0.00227 -0.00088 -0.00056 -0.00094 -0.00146 -0.00119 -0.00145
-0.09000 -0.00091 -0.00038 -0.00079 -0.00188 -0.00198 -0.00228 -0.00088 -0.00052 -0.00096 -0.00135 -0.00105 -0.00178
-0.08000 -0.00092 -0.00037 -0.00090 -0.00167 -0.00182 -0.00204 -0.00092 -0.00048 -0.00107 -0.00159 -0.00121 -0.00141
-0.07000 -0.00099 -0.00036 -0.00078 -0.00184 -0.00166 -0.00227 -0.00091 -0.00060 -0.00088 -0.00165 -0.00097 -0.00171
-0.06000 -0.00088 -0.00046 -0.00072 -0.00181 -0.00188 -0.00208 -0.00080 -0.00051 -0.00094 -0.00123 -0.00120 -0.00143
-0.05000 -0.00103 -0.00040 -0.00078 -0.00198 -0.00200 -0.00187 -0.00086 -0.00047 -0.00115 -0.00141 -0.00109 -0.00171
-0.04000 -0.00102 -0.00045 -0.00077 -0.00206 -0.00166 -0.00175 -0.00099 -0.00059 -0.00093 -0.00158 -0.00115 -0.00172
-0.03000 -0.00087 -0.00037 -0.00072 -0.00221 -0.00171 -0.00174 -0.00079 -0.00047 -0.00107 -0.00133 -0.00115 -0.00134
-0.02000 -0.00096 -0.00047 -0.00089 -0.00174 -0.00165 -0.00194 -0.00097 -0.00062 -0.00097 -0.00140 -0.00123 -0.00169
-0.01000 -0.00102 -0.00039 -0.00082 -0.00214 -0.00197 -0.00194 -0.00098 -0.00053 -0.00087 -0.00164 -0.00099 -0.00156
-0.00000 -0.00111 -0.00039 -0.00068 -0.00176 -0.00183 -0.00196 -0.00078 -0.00058 -0.00088 -0.00131 -0.00100 -0.00164
0.01000 -0.00108 -0.00043 -0.00077 -0.00179 -0.00186 -0.00224 -0.00086 -0.00059 -0.00113 -0.00127 -0.00096 -0.00161
0.02000 -0.00115 -0.00042 -0.00072 -0.00193 -0.00151 -0.00222 -0.00099 -0.00061 -0.00091 -0.00135 -0.00125 -0.00170
0.03000 -0.00115 -0.00036 -0.00068 -0.00184 -0.00186 -0.00175 -0.00075 -0.00059 -0.00109 -0.00156 -0.00121 -0.00148
0.04000 -0.00096 -0.00046 -0.00070 -0.00187 -0.00182 -0.00219 -0.00093 -0.00062 -0.00097 -0.00131 -0.00116 -0.00139
0.05000 -0.00107 -0.00038 -0.00090 -0.00205 -0.00172 -0.00219 -0.00095 -0.00052 -0.00087 -0.00123 -0.00127 -0.00169
0.06000 -0.00095 -0.00047 -0.00082 -0.00193 -0.00183 -0.00188 -0.00090 -0.00059 -0.00097 -0.00144 -0.00119 -0.00176
0.07000 -0.00097 -0.00038 -0.00071 -0.00207 -0.00159 -0.00215 -0.00095 -0.00049 -0.00107 -0.00146 -0.00098 -0.00139
0.08000 -0.00091 -0.00040 -0.00080 -0.00187 -0.00184 -0.00211 -0.00088 -0.00061 -0.00085 -0.00160 -0.00120 -0.00140
0.09000 -0.00113 -0.00039 -0.00085 -0.00185 -0.00176 -0.00188 -0.00093 -0.00055 -0.00090 -0.00159 -0.00100 -0.00153
0.10000 -0.00101 -0.00043 -0.00087 -0.00211 -0.00197 -0.00220 -0.00099 -0.00063 -0.00101 -0.00129 -0.00116 -0.00136
0.11000 -0.00112 -0.00039 -0.00077 -0.00170 -0.00179 -0.00181 -0.00079 -0.00058 -0.00094 -0.00155 -0.00107 -0.00150
0.12000 -0.00091 -0.00040 -0.00075 -0.00182 -0.00157 -0.00202 -0.00083 -0.00053 -0.00107 -0.00128 -0.00123 -0.00139
0.13000 -0.00107 -0.00035 -0.00070 -0.00201 -0.00181 -0.00195 -0.00087 -0.00063 -0.00113 -0.00122 -0.00125 -0.00144
0.14000 -0.00087 -0.00039 -0.00076 -0.00207 -0.00183 -0.00194 -0.00081 -0.00061 -0.00085 -0.00131 -0.00118 -0.00177
