# Timestamp: 2014-10-08 10:02:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-2
# Layout: inm standard
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 1 2 3 9 13 15 21 22 24 26 27 29 34 35
# Areas: 1.0 1.0 1.0 0.1 0.5 1.0 0.1 0.1 0.1 0.5 1.0 1.0 1.0 1.0
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.10000 -0.01086 -0.00310 -0.00954 -0.00079 -0.00272 -0.01166 -0.00064 -0.00057 -0.00129 -0.00433 -0.00923 -0.01060 -0.00786 -0.01076
-0.09000 -0.01220 -0.00314 -0.01036 -0.00078 -0.00275 -0.01217 -0.00072 -0.00061 -0.00118 -0.00367 -0.00966 -0.00896 -0.00725 -0.00915
-0.08000 -0.01116 -0.00318 -0.00873 -0.00093 -0.00289 -0.01050 -0.00071 -0.00058 -0.00149 -0.00343 -0.01164 -0.01058 -0.00745 -0.00949
-0.07000 -0.01305 -0.00310 -0.00854 -0.00084 -0.00268 -0.01280 -0.00067 -0.00048 -0.00131 -0.00434 -0.00887 -0.00806 -0.00797 -0.01144
-0.06000 -0.01088 -0.00318 -0.00840 -0.00076 -0.00289 -0.01309 -0.00072 -0.00060 -0.00141 -0.00344 -0.01003 -0.00841 -0.00762 -0.01156
-0.05000 -0.01218 -0.00386 -0.00881 -0.00071 -0.00240 -0.01336 -0.00060 -0.00056 -0.00148 -0.00403 -0.00956 -0.01066 -0.00710 -0.01127
-0.04000 -0.01413 -0.00375 -0.00884 -0.00071 -0.00239 -0.01272 -0.00065 -0.00061 -0.00144 -0.00339 -0.01155 -0.00828 -0.00883 -0.00988
-0.03000 -0.01413 -0.00320 -0.01029 -0.00094 -0.00242 -0.01254 -0.00068 -0.00058 -0.00115 -0.00389 -0.01110 -0.00818 -0.00669 -0.00924
-0.02000 -0.01381 -0.00337 -0.01032 -0.00090 -0.00264 -0.01216 -0.00065 -0.00058 -0.00152 -0.00352 -0.01048 -0.00941 -0.00733 -0.00870
-0.01000 -0.01401 -0.00350 -0.01018 -0.00076 -0.00273 -0.01258 -0.00066 -0.00048 -0.00116 -0.00329 -0.01111 -0.00814 -0.00686 -0.00922
-0.00000 -0.01132 -0.00302 -0.00987 -0.00077 -0.00270 -0.01090 -0.00068 -0.00046 -0.00122 -0.00425 -0.01120 -0.01037 -0.00811 -0.00956
0.01000 -0.01170 -0.00367 -0.00920 -0.00087 -0.00228 -0.01107 -0.00064 -0.00048 -0.00117 -0.00341 -0.01072 -0.00804 -0.00884 -0.01031
0.02000 -0.01082 -0.00307 -0.00849 -0.00093 -0.00227 -0.01244 -0.00078 -0.00052 -0.00142 -0.00383 -0.01166 -0.00927 -0.00807 -0.01075
0.03000 -0.01288 -0.00342 -0.00914 -0.00077 -0.00234 -0.01265 -0.00062 -0.00049 -0.00132 -0.00336 -0.01073 -0.01042 -0.00773 -0.00900
0.04000 -0.01286 -0.00362 -0.00880 -0.00094 -0.00253 -0.01199 -0.00076 -0.00050 -0.00118 -0.00331 -0.01101 -0.00852 -0.00791 -0.00974
0.05000 -0.01080 -0.00355 -0.01072 -0.00075 -0.00282 -0.01342 -0.00062 -0.00051 -0.00148 -0.00388 -0.00893 -0.00853 -0.00867 -0.00981
0.06000 -0.01061 -0.00298 -0.01007 -0.00071 -0.00272 -0.01057 -0.00075 -0.00057 -0.00137 -0.00365 -0.00891 -0.01036 -0.00798 -0.00866
0.07000 -0.01186 -0.00369 -0.00973 -0.00086 -0.00281 -0.01227 -0.00062 -0.00047 -0.00141 -0.00435 -0.00995 -0.00894 -0.00692 -0.00965
0.08000 -0.01375 -0.00299 -0.00956 -0.00088 -0.00266 -0.01202 -0.00062 -0.00051 -0.00132 -0.00415 -0.01116 -0.01055 -0.00774 -0.01119
0.09000 -0.01088 -0.00354 -0.00973 -0.00078 -0.00230 -0.01166 -0.00074 -0.00055 -0.00118 -0.00430 -0.00973 -0.00864 -0.00860 -0.00847
0.10000 -0.01213 -0.00304 -0.00889 -0.00088 -0.00277 -0.01331 -0.00064 -0.00049 -0.00126 -0.00428 -0.01022 -0.00920 -0.00733 -0.01114
0.11000 -0.01089 -0.00302 -0.00983 -0.00074 -0.00234 -0.01238 -0.00059 -0.00060 -0.00114 -0.00347 -0.01119 -0.00813 -0.00877 -0.01068
0.12000 -0.01156 -0.00303 -0.00815 -0.00089 -0.00240 -0.01217 -0.00070 -0.00046 -0.00152 -0.00353 -0.00877 -0.00787 -0.00811 -0.01137
0.13000 -0.01212 -0.00369 -0.00906 -0.00088 -0.00259 -0.01229 -0.00071 -0.00059 -0.00115 -0.00373 -0.01044 -0.00907 -0.00719 -0.01006
0.14000 -0.01247 -0.00338 -0.01004 -0.00081 -0.00293 -0.01114 -0.00072 -0.00059 -0.00127 -0.00384 -0.00918 -0.00906 -0.00844 -0.00866
0.15000 -0.01101 -0.00314 -0.01011 -0.00088 -0.00231 -0.01147 -0.00070 -0.00051 -0.00129 -0.00419 -0.00874 -0.00802 -0.00693 -0.00934
0.16000 -0.01386 -0.00330 -0.00835 -0.00086 -0.00254 -0.01216 -0.00058 -0.00060 -0.00122 -0.00323 -0.01096 -0.00862 -0.00754 -0.00881
0.17000 -0.01269 -0.00357 -0.00925 -0.00080 -0.00228 -0.01271 -0.00067 -0.00058 -0.00125 -0.00328 -0.00899 -0.00838 -0.00837 -0.00978
0.18000 -0.01202 -0.00359 -0.00822 -0.00075 -0.00275 -0.01282 -0.00071 -0.00057 -0.00121 -0.00384 -0.01131 -0.00980 -0.00685 -0.00971
0.19000 -0.01081 -0.00308 -0.00945 -0.00090 -0.00221 -0.01285 -0.00070 -0.00060 -0.00146 -0.00356 -0.01057 -0.01008 -0.00786 -0.01131
0.20000 -0.01078 -0.00367 -0.01071 -0.00072 -0.00242 -0.01345 -0.00076 -0.00051 -0.00133 -0.00421 -0.00973 -0.01061 -0.00847 -0.01009
0.21000 -0.01161 -0.00356 -0.00826 -0.00089 -0.00241 -0.01194 -0.00076 -0.00046 -0.00121 -0.00399 -0.01017 -0.00910 -0.00748 -0.01033
0.22000 -0.01195 -0.00307 -0.00994 -0.00089 -0.00237 -0.00998 -0.00064 -0.00046 -0.00121 -0.00353 -0.00965 -0.01039 -0.00707 -0.01137
0.23000 -0.01051 -0.00296 -0.00871 -0.00075 -0.00274 -0.01162 -0.00069 -0.00053 -0.00129 -0.00406 -0.01156 -0.00958 -0.00714 -0.00851
0.24000 -0.01092 -0.00347 -0.00864 -0.00086 -0.00218 -0.01301 -0.00058 -0.00058 -0.00117 -0.00361 -0.01161 -0.00970 -0.00808 -0.01083
0.25000 -0.01252 -0.00375 -0.00980 -0.00074 -0.00263 -0.01207 -0.00076 -0.00060 -0.00141 -0.00424 -0.00976 -0.00783 -0.00821 -0.01124
0.26000 -0.01257 -0.00357 -0.01018 -0.00073 -0.00234 -0.01223 -0.00059 -0.00055 -0.00112 -0.00407 -0.01142 -0.01056 -0.00668 -0.00917
0.27000 -0.01136 -0.00314 -0.00821 -0.00075 -0.00290 -0.01032 -0.00072 -0.00060 -0.00116 -0.00358 -0.00911 -0.00829 -0.00759 -0.00956
0.28000 -0.01358 -0.00377 -0.00856 -0.00085 -0.00282 -0.01240 -0.00073 -0.00048 -0.00140 -0.00352 -0.00993 -0.00913 -0.00879 -0.01060
0.29000 -0.01278 -0.00386 -0.01037 -0.00081 -0.00227 -0.01250 -0.00071 -0.00058 -0.00120 -0.00380 -0.00944 -0.00926 -0.00793 -0.01117
0.30000 -0.01248 -0.00335 -0.00913 -0.00094 -0.00245 -0.01134 -0.00062 -0.00050 -0.00135 -0.00392 -0.01078 -0.01028 -0.00701 -0.01063
0.31000 -0.01361 -0.00365 -0.00897 -0.00075 -0.00254 -0.01084 -0.00073 -0.00061 -0.00142 -0.00347 -0.01095 -0.01028 -0.00664 -0.01024
0.32000 -0.01320 -0.00361 -0.00882 -0.00087 -0.00277 -0.01319 -0.00062 -0.00055 -0.00150 -0.00408 -0.01147 -0.00843 -0.00761 -0.00872
0.33000 -0.01135 -0.00321 -0.00862 -0.00086 -0.00284 -0.00980 -0.00058 -0.00048 -0.00122 -0.00381 -0.01126 -0.01023 -0.00834 -0.01112
0.34000 -0.01144 -0.00355 -0.00948 -0.00085 -0.00248 -0.01321 -0.00073 -0.00055 -0.00131 -0.00381 -0.01116 -0.00984 -0.00699 -0.00819
0.35000 -0.01382 -0.00331 -0.00933 -0.00082 -0.00271 -0.01289 -0.00061 -0.00049 -0.00123 -0.00395 -0.00877 -0.00796 -0.00793 -0.00989
0.36000 -0.01142 -0.00356 -0.00985 -0.00077 -0.00261 -0.01037 -0.00065 -0.00051 -0.00111 -0.00394 -0.00867 -0.00907 -0.00812 -0.01061
0.37000 -0.01141 -0.00301 -0.01024 -0.00069 -0.00288 -0.00988 -0.00063 -0.00056 -0.00121 -0.00408 -0.00897 -0.00942 -0.00734 -0.00869
0.38000 -0.01190 -0.00386 -0.00871 -0.00080 -0.00216 -0.01154 -0.00065 -0.00057 -0.00141 -0.00374 -0.00899 -0.01013 -0.00681 -0.00962
0.39000 -0.01191 -0.00320 -0.00785 -0.00079 -0.00221 -0.00980 -0.00071 -0.00060 -0.00148 -0.00336 -0.01043 -0.00792 -0.00753 -0.00932
0.40000 -0.01196 -0.00371 -0.00871 -0.00073 -0.00246 -0.01163 -0.00065 -0.00055 -0.00114 -0.00349 -0.01014 -0.00910 -0.00697 -0.00826
0.41000 -0.01033 -0.00362 -0.00834 -0.00084 -0.00286 -0.01074 -0.00075 -0.00050 -0.00131 -0.00330 -0.00844 -0.00851 -0.00785 -0.00897
0.42000 -0.01288 -0.00369 -0.00903 -0.00084 -0.00269 -0.01001 -0.00062 -0.00057 -0.00122 -0.00401 -0.01027 -0.00934 -0.00696 -0.00790
0.43000 -0.01089 -0.00373 -0.01030 -0.00079 -0.00238 -0.00958 -0.00062 -0.00060 -0.00147 -0.00356 -0.01118 -0.00773 -0.00832 -0.00826
0.44000 -0.01366 -0.00315 -0.00968 -0.00068 -0.00257 -0.01081 -0.00058 -0.00051 -0.00142 -0.00306 -0.01121 -0.00928 -0.00781 -0.00859
0.45000 -0.01088 -0.00369 -0.00990 -0.00090 -0.00264 -0.01136 -0.00074 -0.00057 -0.00133 -0.00346 -0.00979 -0.00887 -0.00698 -0.00891
0.46000 -0.01118 -0.00340 -0.01011 -0.00070 -0.00259 -0.01126 -0.00056 -0.00045 -0.00123 -0.00340 -0.00812 -0.00843 -0.00808 -0.00943
0.47000 -0.01063 -0.00379 -0.00747 -0.00080 -0.00258 -0.00910 -0.00070 -0.00045 -0.00127 -0.00356 -0.01038 -0.00935 -0.00711 -0.00887
0.48000 -0.01315 -0.00321 -0.00762 -0.00077 -0.00227 -0.00938 -0.00074 -0.00048 -0.00119 -0.00375 -0.00865 -0.00769 -0.00795 -0.01027
0.49000 -0.01300 -0.00340 -0.00711 -0.00074 -0.00264 -0.00904 -0.00059 -0.00055 -0.00116 -0.00333 -0.00934 -0.00932 -0.00855 -0.00771
0.50000 -0.01113 -0.00338 -0.00817 -0.00069 -0.00216 -0.00895 -0.00072 -0.00056 -0.00141 -0.00370 -0.01089 -0.00797 -0.00666 -0.01024
0.51000 -0.01201 -0.00326 -0.00815 -0.00085 -0.00262 -0.00875 -0.00060 -0.00058 -0.00108 -0.00319 -0.00951 -0.00819 -0.00659 -0.00879
0.52000 -0.01139 -0.00323 -0.00753 -0.00072 -0.00247 -0.01165 -0.00056 -0.00049 -0.00140 -0.00378 -0.01051 -0.00833 -0.00672 -0.00992
