# Timestamp: 2014-10-08 10:03:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-2
# Layout: inm standard
# Irradiation: BG7
# Temperature: 23.5
# Positions: 1 2 3 9 13 15 21 22 24 26 27 29 34 35
# Areas: 1.0 1.0 1.0 0.1 0.5 1.0 0.1 0.1 0.1 0.5 1.0 1.0 1.0 1.0
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.10000 -0.00238 -0.00073 -0.00236 -0.00018 -0.00064 -0.00286 -0.00016 -0.00014 -0.00031 -0.00087 -0.00218 -0.00246 -0.00173 -0.00238
-0.09000 -0.00264 -0.00067 -0.00247 -0.00019 -0.00057 -0.00286 -0.00018 -0.00013 -0.00025 -0.00074 -0.00206 -0.00222 -0.00172 -0.00191
-0.08000 -0.00269 -0.00074 -0.00209 -0.00022 -0.00059 -0.00230 -0.00016 -0.00012 -0.00031 -0.00083 -0.00237 -0.00250 -0.00155 -0.00223
-0.07000 -0.00287 -0.00064 -0.00171 -0.00020 -0.00059 -0.00319 -0.00014 -0.00012 -0.00027 -0.00093 -0.00178 -0.00166 -0.00172 -0.00280
-0.06000 -0.00255 -0.00067 -0.00207 -0.00018 -0.00070 -0.00315 -0.00016 -0.00014 -0.00028 -0.00080 -0.00231 -0.00176 -0.00161 -0.00286
-0.05000 -0.00266 -0.00083 -0.00178 -0.00017 -0.00056 -0.00316 -0.00012 -0.00013 -0.00034 -0.00095 -0.00226 -0.00261 -0.00160 -0.00275
-0.04000 -0.00313 -0.00084 -0.00188 -0.00017 -0.00054 -0.00270 -0.00014 -0.00014 -0.00031 -0.00077 -0.00233 -0.00190 -0.00216 -0.00198
-0.03000 -0.00337 -0.00073 -0.00221 -0.00023 -0.00058 -0.00268 -0.00014 -0.00014 -0.00027 -0.00091 -0.00229 -0.00171 -0.00151 -0.00226
-0.02000 -0.00330 -0.00074 -0.00236 -0.00018 -0.00063 -0.00244 -0.00013 -0.00012 -0.00031 -0.00086 -0.00249 -0.00234 -0.00181 -0.00178
-0.01000 -0.00306 -0.00071 -0.00226 -0.00017 -0.00067 -0.00270 -0.00014 -0.00011 -0.00026 -0.00075 -0.00248 -0.00196 -0.00164 -0.00205
-0.00000 -0.00242 -0.00070 -0.00212 -0.00018 -0.00057 -0.00218 -0.00015 -0.00011 -0.00025 -0.00099 -0.00268 -0.00228 -0.00168 -0.00232
0.01000 -0.00280 -0.00089 -0.00224 -0.00018 -0.00048 -0.00234 -0.00016 -0.00010 -0.00028 -0.00078 -0.00218 -0.00188 -0.00218 -0.00231
0.02000 -0.00256 -0.00070 -0.00208 -0.00020 -0.00045 -0.00271 -0.00017 -0.00012 -0.00035 -0.00093 -0.00291 -0.00202 -0.00189 -0.00265
0.03000 -0.00297 -0.00081 -0.00194 -0.00018 -0.00050 -0.00259 -0.00013 -0.00012 -0.00029 -0.00072 -0.00243 -0.00215 -0.00180 -0.00219
0.04000 -0.00293 -0.00086 -0.00216 -0.00021 -0.00058 -0.00287 -0.00017 -0.00012 -0.00025 -0.00067 -0.00258 -0.00171 -0.00174 -0.00234
0.05000 -0.00245 -0.00087 -0.00234 -0.00018 -0.00062 -0.00297 -0.00015 -0.00012 -0.00031 -0.00082 -0.00205 -0.00211 -0.00186 -0.00212
0.06000 -0.00248 -0.00060 -0.00226 -0.00016 -0.00056 -0.00214 -0.00017 -0.00012 -0.00033 -0.00082 -0.00189 -0.00251 -0.00185 -0.00189
0.07000 -0.00251 -0.00092 -0.00234 -0.00019 -0.00062 -0.00298 -0.00014 -0.00010 -0.00035 -0.00103 -0.00235 -0.00211 -0.00159 -0.00212
0.08000 -0.00302 -0.00060 -0.00231 -0.00021 -0.00054 -0.00266 -0.00013 -0.00010 -0.00028 -0.00089 -0.00271 -0.00258 -0.00171 -0.00237
0.09000 -0.00252 -0.00079 -0.00231 -0.00017 -0.00047 -0.00238 -0.00016 -0.00012 -0.00029 -0.00107 -0.00206 -0.00191 -0.00179 -0.00207
0.10000 -0.00254 -0.00072 -0.00200 -0.00018 -0.00059 -0.00319 -0.00013 -0.00010 -0.00031 -0.00093 -0.00236 -0.00223 -0.00170 -0.00270
0.11000 -0.00233 -0.00062 -0.00200 -0.00017 -0.00051 -0.00302 -0.00013 -0.00015 -0.00028 -0.00074 -0.00272 -0.00165 -0.00205 -0.00230
0.12000 -0.00248 -0.00061 -0.00180 -0.00021 -0.00050 -0.00262 -0.00015 -0.00011 -0.00036 -0.00085 -0.00207 -0.00193 -0.00202 -0.00253
0.13000 -0.00276 -0.00092 -0.00195 -0.00021 -0.00063 -0.00300 -0.00016 -0.00014 -0.00027 -0.00086 -0.00256 -0.00194 -0.00174 -0.00214
0.14000 -0.00258 -0.00082 -0.00219 -0.00016 -0.00060 -0.00264 -0.00015 -0.00012 -0.00027 -0.00091 -0.00194 -0.00195 -0.00188 -0.00198
0.15000 -0.00265 -0.00072 -0.00240 -0.00019 -0.00049 -0.00245 -0.00015 -0.00012 -0.00026 -0.00091 -0.00189 -0.00185 -0.00162 -0.00209
0.16000 -0.00303 -0.00078 -0.00176 -0.00019 -0.00053 -0.00252 -0.00012 -0.00013 -0.00029 -0.00075 -0.00249 -0.00191 -0.00159 -0.00183
0.17000 -0.00308 -0.00074 -0.00221 -0.00019 -0.00047 -0.00263 -0.00014 -0.00012 -0.00030 -0.00079 -0.00203 -0.00200 -0.00198 -0.00231
0.18000 -0.00257 -0.00086 -0.00197 -0.00017 -0.00064 -0.00287 -0.00015 -0.00014 -0.00030 -0.00087 -0.00246 -0.00244 -0.00153 -0.00212
0.19000 -0.00217 -0.00063 -0.00208 -0.00020 -0.00046 -0.00280 -0.00015 -0.00015 -0.00029 -0.00073 -0.00217 -0.00235 -0.00165 -0.00261
0.20000 -0.00253 -0.00075 -0.00243 -0.00016 -0.00057 -0.00293 -0.00016 -0.00010 -0.00030 -0.00103 -0.00195 -0.00220 -0.00181 -0.00218
0.21000 -0.00279 -0.00084 -0.00204 -0.00021 -0.00057 -0.00286 -0.00016 -0.00009 -0.00030 -0.00098 -0.00213 -0.00182 -0.00178 -0.00226
0.22000 -0.00251 -0.00074 -0.00201 -0.00021 -0.00055 -0.00202 -0.00016 -0.00011 -0.00027 -0.00072 -0.00202 -0.00251 -0.00164 -0.00266
0.23000 -0.00237 -0.00061 -0.00207 -0.00019 -0.00060 -0.00277 -0.00015 -0.00012 -0.00031 -0.00091 -0.00247 -0.00198 -0.00174 -0.00205
0.24000 -0.00255 -0.00078 -0.00197 -0.00018 -0.00054 -0.00312 -0.00014 -0.00013 -0.00025 -0.00078 -0.00258 -0.00222 -0.00181 -0.00265
0.25000 -0.00301 -0.00080 -0.00224 -0.00015 -0.00055 -0.00242 -0.00018 -0.00014 -0.00032 -0.00098 -0.00213 -0.00191 -0.00171 -0.00244
0.26000 -0.00259 -0.00079 -0.00217 -0.00016 -0.00052 -0.00293 -0.00013 -0.00012 -0.00024 -0.00086 -0.00276 -0.00219 -0.00148 -0.00227
0.27000 -0.00246 -0.00074 -0.00188 -0.00017 -0.00070 -0.00254 -0.00015 -0.00013 -0.00028 -0.00086 -0.00214 -0.00185 -0.00182 -0.00216
0.28000 -0.00308 -0.00077 -0.00198 -0.00018 -0.00062 -0.00260 -0.00017 -0.00011 -0.00030 -0.00087 -0.00208 -0.00190 -0.00190 -0.00224
0.29000 -0.00273 -0.00084 -0.00219 -0.00017 -0.00048 -0.00309 -0.00016 -0.00013 -0.00026 -0.00076 -0.00219 -0.00204 -0.00197 -0.00256
0.30000 -0.00251 -0.00067 -0.00226 -0.00021 -0.00058 -0.00278 -0.00015 -0.00011 -0.00030 -0.00083 -0.00255 -0.00224 -0.00173 -0.00259
0.31000 -0.00282 -0.00088 -0.00188 -0.00017 -0.00059 -0.00248 -0.00015 -0.00013 -0.00029 -0.00072 -0.00238 -0.00208 -0.00160 -0.00254
0.32000 -0.00292 -0.00084 -0.00181 -0.00019 -0.00061 -0.00311 -0.00014 -0.00012 -0.00036 -0.00102 -0.00271 -0.00204 -0.00159 -0.00211
0.33000 -0.00258 -0.00074 -0.00172 -0.00020 -0.00062 -0.00221 -0.00012 -0.00010 -0.00029 -0.00093 -0.00269 -0.00240 -0.00195 -0.00266
0.34000 -0.00277 -0.00077 -0.00191 -0.00019 -0.00056 -0.00324 -0.00018 -0.00014 -0.00028 -0.00094 -0.00260 -0.00198 -0.00164 -0.00164
0.35000 -0.00318 -0.00082 -0.00212 -0.00018 -0.00057 -0.00314 -0.00014 -0.00012 -0.00028 -0.00087 -0.00218 -0.00176 -0.00160 -0.00239
0.36000 -0.00239 -0.00083 -0.00203 -0.00017 -0.00060 -0.00245 -0.00016 -0.00012 -0.00025 -0.00080 -0.00182 -0.00215 -0.00176 -0.00216
