# Timestamp: 2014-10-08 10:05:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-3
# Layout: inm standard
# Irradiation: BG7
# Temperature: 23.5
# Positions: 3 6 7 10 17 20 25 26 27 29 30 32 33 34 35
# Areas: 1.0 1.0 0.5 0.1 1.0 0.5 1.0 0.5 1.0 1.0 1.0 1.0 0.5 1.0 1.0
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.10000 -0.00242 -0.00301 -0.00090 -0.00019 -0.00112 -0.00075 -0.00204 -0.00115 -0.00068 -0.00189 -0.00440 -0.00167 -0.00180 -0.00284 -0.00225
-0.09000 -0.00270 -0.00355 -0.00116 -0.00015 -0.00136 -0.00077 -0.00194 -0.00135 -0.00090 -0.00207 -0.00457 -0.00203 -0.00176 -0.00234 -0.00223
-0.08000 -0.00321 -0.00318 -0.00114 -0.00017 -0.00123 -0.00080 -0.00204 -0.00136 -0.00081 -0.00197 -0.00431 -0.00221 -0.00148 -0.00294 -0.00253
-0.07000 -0.00233 -0.00363 -0.00092 -0.00020 -0.00151 -0.00088 -0.00222 -0.00127 -0.00070 -0.00216 -0.00462 -0.00209 -0.00204 -0.00264 -0.00223
-0.06000 -0.00277 -0.00396 -0.00097 -0.00017 -0.00115 -0.00071 -0.00209 -0.00112 -0.00085 -0.00212 -0.00385 -0.00166 -0.00168 -0.00238 -0.00233
-0.05000 -0.00263 -0.00366 -0.00091 -0.00022 -0.00148 -0.00085 -0.00225 -0.00144 -0.00090 -0.00196 -0.00437 -0.00172 -0.00156 -0.00303 -0.00218
-0.04000 -0.00271 -0.00304 -0.00091 -0.00023 -0.00142 -0.00084 -0.00210 -0.00137 -0.00074 -0.00221 -0.00420 -0.00187 -0.00178 -0.00294 -0.00251
-0.03000 -0.00321 -0.00358 -0.00112 -0.00022 -0.00126 -0.00103 -0.00196 -0.00129 -0.00079 -0.00214 -0.00369 -0.00184 -0.00175 -0.00306 -0.00234
-0.02000 -0.00337 -0.00326 -0.00093 -0.00024 -0.00150 -0.00099 -0.00210 -0.00119 -0.00077 -0.00217 -0.00451 -0.00202 -0.00195 -0.00299 -0.00264
-0.01000 -0.00309 -0.00327 -0.00112 -0.00021 -0.00126 -0.00105 -0.00220 -0.00131 -0.00083 -0.00223 -0.00366 -0.00217 -0.00166 -0.00303 -0.00247
-0.00000 -0.00265 -0.00289 -0.00095 -0.00021 -0.00153 -0.00070 -0.00244 -0.00150 -0.00066 -0.00209 -0.00342 -0.00159 -0.00156 -0.00254 -0.00244
0.01000 -0.00275 -0.00275 -0.00107 -0.00019 -0.00127 -0.00088 -0.00217 -0.00125 -0.00092 -0.00213 -0.00416 -0.00170 -0.00180 -0.00299 -0.00265
0.02000 -0.00267 -0.00343 -0.00116 -0.00020 -0.00130 -0.00079 -0.00215 -0.00146 -0.00076 -0.00205 -0.00468 -0.00184 -0.00178 -0.00244 -0.00267
0.03000 -0.00323 -0.00369 -0.00099 -0.00020 -0.00161 -0.00094 -0.00167 -0.00127 -0.00069 -0.00179 -0.00471 -0.00188 -0.00191 -0.00250 -0.00270
0.04000 -0.00293 -0.00339 -0.00093 -0.00019 -0.00129 -0.00070 -0.00232 -0.00154 -0.00074 -0.00215 -0.00332 -0.00168 -0.00149 -0.00240 -0.00206
0.05000 -0.00346 -0.00264 -0.00092 -0.00017 -0.00144 -0.00083 -0.00230 -0.00134 -0.00078 -0.00225 -0.00412 -0.00222 -0.00208 -0.00234 -0.00267
0.06000 -0.00273 -0.00284 -0.00116 -0.00022 -0.00109 -0.00089 -0.00215 -0.00150 -0.00078 -0.00180 -0.00360 -0.00166 -0.00158 -0.00294 -0.00250
0.07000 -0.00316 -0.00354 -0.00092 -0.00018 -0.00142 -0.00084 -0.00194 -0.00133 -0.00068 -0.00213 -0.00358 -0.00225 -0.00158 -0.00305 -0.00243
0.08000 -0.00316 -0.00270 -0.00122 -0.00017 -0.00116 -0.00078 -0.00163 -0.00138 -0.00078 -0.00230 -0.00474 -0.00213 -0.00165 -0.00296 -0.00285
0.09000 -0.00260 -0.00284 -0.00094 -0.00017 -0.00139 -0.00100 -0.00213 -0.00152 -0.00066 -0.00163 -0.00338 -0.00187 -0.00187 -0.00234 -0.00211
0.10000 -0.00285 -0.00372 -0.00082 -0.00018 -0.00127 -0.00087 -0.00250 -0.00154 -0.00085 -0.00179 -0.00386 -0.00208 -0.00183 -0.00258 -0.00251
0.11000 -0.00326 -0.00348 -0.00116 -0.00017 -0.00120 -0.00075 -0.00242 -0.00113 -0.00071 -0.00229 -0.00435 -0.00197 -0.00163 -0.00260 -0.00250
0.12000 -0.00331 -0.00328 -0.00089 -0.00019 -0.00141 -0.00092 -0.00237 -0.00120 -0.00074 -0.00236 -0.00412 -0.00186 -0.00167 -0.00261 -0.00282
