# Timestamp: 2014-10-08 10:06:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-4
# Layout: inm standard
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 1 6 8 10 11 12 16 19 20 21 22 23 25 27 31 32 35 36
# Areas: 1.0 1.0 1.0 0.1 0.1 0.1 1.0 1.0 0.5 0.1 0.1 0.1 1.0 1.0 1.0 1.0 1.0 0.5
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.10000 -0.00672 -0.00884 -0.00941 -0.00158 -0.00116 -0.00085 -0.01535 -0.00194 -0.00469 -0.00148 -0.00105 -0.00056 -0.00934 -0.00983 -0.01097 -0.01240 -0.00626 -0.00448
-0.09000 -0.00688 -0.00978 -0.00944 -0.00143 -0.00125 -0.00089 -0.01630 -0.00205 -0.00464 -0.00135 -0.00101 -0.00066 -0.01155 -0.00915 -0.00979 -0.01291 -0.00760 -0.00519
-0.08000 -0.00703 -0.00827 -0.01168 -0.00132 -0.00129 -0.00094 -0.01612 -0.00172 -0.00427 -0.00140 -0.00085 -0.00061 -0.01015 -0.01111 -0.01132 -0.01267 -0.00787 -0.00447
-0.07000 -0.00714 -0.01039 -0.01179 -0.00145 -0.00123 -0.00079 -0.01361 -0.00182 -0.00564 -0.00137 -0.00087 -0.00068 -0.01061 -0.00983 -0.01066 -0.01170 -0.00819 -0.00505
-0.06000 -0.00571 -0.00854 -0.01047 -0.00146 -0.00129 -0.00103 -0.01498 -0.00200 -0.00483 -0.00142 -0.00091 -0.00063 -0.01070 -0.00945 -0.00933 -0.01082 -0.00662 -0.00574
-0.05000 -0.00703 -0.01018 -0.00968 -0.00123 -0.00121 -0.00080 -0.01537 -0.00192 -0.00465 -0.00133 -0.00099 -0.00068 -0.00963 -0.00966 -0.01143 -0.01080 -0.00711 -0.00438
-0.04000 -0.00686 -0.00831 -0.01171 -0.00150 -0.00106 -0.00094 -0.01280 -0.00176 -0.00507 -0.00139 -0.00087 -0.00060 -0.01051 -0.01094 -0.01012 -0.01357 -0.00668 -0.00509
-0.03000 -0.00726 -0.00874 -0.00924 -0.00144 -0.00127 -0.00099 -0.01515 -0.00189 -0.00427 -0.00129 -0.00095 -0.00064 -0.01071 -0.00943 -0.01052 -0.01415 -0.00802 -0.00541
-0.02000 -0.00567 -0.00982 -0.01098 -0.00133 -0.00120 -0.00098 -0.01415 -0.00172 -0.00469 -0.00135 -0.00099 -0.00063 -0.01094 -0.01075 -0.01196 -0.01389 -0.00815 -0.00572
-0.01000 -0.00730 -0.00881 -0.01174 -0.00123 -0.00133 -0.00084 -0.01598 -0.00217 -0.00567 -0.00149 -0.00106 -0.00072 -0.01274 -0.01132 -0.01181 -0.01321 -0.00813 -0.00466
-0.00000 -0.00629 -0.00914 -0.01039 -0.00160 -0.00118 -0.00088 -0.01546 -0.00173 -0.00511 -0.00146 -0.00097 -0.00070 -0.01219 -0.01074 -0.01156 -0.01194 -0.00648 -0.00548
0.01000 -0.00562 -0.00876 -0.00988 -0.00128 -0.00118 -0.00083 -0.01244 -0.00196 -0.00465 -0.00142 -0.00103 -0.00061 -0.00984 -0.01009 -0.00974 -0.01372 -0.00802 -0.00529
0.02000 -0.00586 -0.00779 -0.00889 -0.00162 -0.00128 -0.00080 -0.01333 -0.00163 -0.00460 -0.00145 -0.00105 -0.00055 -0.01273 -0.00906 -0.00980 -0.01100 -0.00612 -0.00512
0.03000 -0.00743 -0.00886 -0.00939 -0.00127 -0.00124 -0.00085 -0.01279 -0.00171 -0.00441 -0.00134 -0.00086 -0.00069 -0.01164 -0.00997 -0.01061 -0.01186 -0.00710 -0.00548
0.04000 -0.00646 -0.00938 -0.00942 -0.00153 -0.00131 -0.00095 -0.01570 -0.00213 -0.00491 -0.00121 -0.00079 -0.00056 -0.00991 -0.00976 -0.01199 -0.01232 -0.00781 -0.00553
0.05000 -0.00721 -0.00783 -0.01133 -0.00147 -0.00120 -0.00088 -0.01271 -0.00176 -0.00496 -0.00126 -0.00103 -0.00057 -0.01006 -0.01127 -0.01033 -0.01421 -0.00658 -0.00440
0.06000 -0.00642 -0.00999 -0.00889 -0.00127 -0.00126 -0.00104 -0.01522 -0.00172 -0.00541 -0.00114 -0.00084 -0.00066 -0.01150 -0.01123 -0.01067 -0.01253 -0.00762 -0.00457
0.07000 -0.00741 -0.00889 -0.01021 -0.00124 -0.00128 -0.00077 -0.01265 -0.00216 -0.00442 -0.00147 -0.00105 -0.00063 -0.01269 -0.01048 -0.01253 -0.01417 -0.00790 -0.00484
0.08000 -0.00682 -0.00983 -0.00956 -0.00128 -0.00109 -0.00086 -0.01532 -0.00187 -0.00536 -0.00128 -0.00087 -0.00064 -0.01028 -0.01118 -0.01248 -0.01125 -0.00814 -0.00477
0.09000 -0.00718 -0.01010 -0.01014 -0.00140 -0.00117 -0.00083 -0.01597 -0.00203 -0.00494 -0.00149 -0.00088 -0.00061 -0.00980 -0.00906 -0.00932 -0.01068 -0.00770 -0.00550
0.10000 -0.00697 -0.00887 -0.01118 -0.00143 -0.00116 -0.00088 -0.01329 -0.00189 -0.00503 -0.00131 -0.00105 -0.00069 -0.01012 -0.01005 -0.01141 -0.01250 -0.00678 -0.00509
0.11000 -0.00570 -0.00813 -0.01044 -0.00137 -0.00127 -0.00091 -0.01261 -0.00170 -0.00516 -0.00131 -0.00087 -0.00057 -0.01099 -0.01113 -0.01193 -0.01397 -0.00679 -0.00440
0.12000 -0.00743 -0.00777 -0.00919 -0.00162 -0.00112 -0.00100 -0.01629 -0.00217 -0.00530 -0.00114 -0.00103 -0.00060 -0.00991 -0.00837 -0.01134 -0.01213 -0.00732 -0.00539
0.13000 -0.00744 -0.01021 -0.01078 -0.00128 -0.00126 -0.00083 -0.01218 -0.00196 -0.00551 -0.00143 -0.00093 -0.00069 -0.00977 -0.01078 -0.01155 -0.01182 -0.00645 -0.00453
0.14000 -0.00609 -0.00970 -0.01090 -0.00159 -0.00120 -0.00083 -0.01281 -0.00176 -0.00513 -0.00148 -0.00091 -0.00057 -0.01143 -0.01005 -0.01168 -0.01055 -0.00679 -0.00467
0.15000 -0.00590 -0.00850 -0.00928 -0.00140 -0.00107 -0.00101 -0.01462 -0.00177 -0.00512 -0.00149 -0.00102 -0.00068 -0.01096 -0.00861 -0.01182 -0.01074 -0.00753 -0.00572
0.16000 -0.00659 -0.00835 -0.00919 -0.00157 -0.00105 -0.00079 -0.01341 -0.00203 -0.00547 -0.00148 -0.00096 -0.00067 -0.01172 -0.01131 -0.01043 -0.01204 -0.00732 -0.00450
0.17000 -0.00651 -0.00877 -0.00991 -0.00125 -0.00136 -0.00102 -0.01363 -0.00204 -0.00543 -0.00123 -0.00104 -0.00070 -0.01258 -0.00836 -0.01169 -0.01250 -0.00625 -0.00536
0.18000 -0.00653 -0.00860 -0.00922 -0.00123 -0.00119 -0.00097 -0.01368 -0.00178 -0.00520 -0.00139 -0.00106 -0.00062 -0.01128 -0.01043 -0.00938 -0.01225 -0.00818 -0.00461
0.19000 -0.00738 -0.00801 -0.01016 -0.00152 -0.00130 -0.00096 -0.01542 -0.00175 -0.00441 -0.00151 -0.00079 -0.00072 -0.01064 -0.00913 -0.00994 -0.01151 -0.00717 -0.00490
0.20000 -0.00613 -0.00859 -0.01087 -0.00140 -0.00119 -0.00079 -0.01323 -0.00164 -0.00470 -0.00136 -0.00095 -0.00058 -0.01256 -0.00938 -0.01026 -0.01302 -0.00633 -0.00526
0.21000 -0.00710 -0.01006 -0.01150 -0.00153 -0.00122 -0.00097 -0.01524 -0.00192 -0.00471 -0.00134 -0.00103 -0.00061 -0.01105 -0.00986 -0.01244 -0.01193 -0.00625 -0.00527
0.22000 -0.00743 -0.01038 -0.00924 -0.00137 -0.00110 -0.00079 -0.01255 -0.00171 -0.00473 -0.00122 -0.00080 -0.00070 -0.01112 -0.00927 -0.00978 -0.01104 -0.00650 -0.00560
0.23000 -0.00693 -0.00903 -0.00965 -0.00139 -0.00133 -0.00095 -0.01217 -0.00168 -0.00506 -0.00134 -0.00090 -0.00062 -0.01016 -0.01001 -0.01124 -0.01234 -0.00808 -0.00470
