# Timestamp: 2014-10-08 10:07:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-4
# Layout: inm standard
# Irradiation: BG7
# Temperature: 23.5
# Positions: 1 6 8 10 11 12 16 19 20 21 22 23 25 27 31 32 35 36
# Areas: 1.0 1.0 1.0 0.1 0.1 0.1 1.0 1.0 0.5 0.1 0.1 0.1 1.0 1.0 1.0 1.0 1.0 0.5
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.10000 -0.00167 -0.00178 -0.00216 -0.00036 -0.00028 -0.00020 -0.00338 -0.00043 -0.00100 -0.00030 -0.00022 -0.00012 -0.00212 -0.00236 -0.00229 -0.00253 -0.00150 -0.00108
-0.09000 -0.00141 -0.00241 -0.00189 -0.00030 -0.00027 -0.00021 -0.00394 -0.00044 -0.00103 -0.00028 -0.00022 -0.00016 -0.00271 -0.00219 -0.00232 -0.00266 -0.00182 -0.00113
-0.08000 -0.00173 -0.00188 -0.00246 -0.00027 -0.00031 -0.00020 -0.00350 -0.00038 -0.00086 -0.00031 -0.00020 -0.00012 -0.00205 -0.00257 -0.00241 -0.00271 -0.00163 -0.00090
-0.07000 -0.00169 -0.00251 -0.00290 -0.00032 -0.00028 -0.00017 -0.00335 -0.00044 -0.00129 -0.00028 -0.00018 -0.00016 -0.00222 -0.00237 -0.00234 -0.00264 -0.00173 -0.00113
-0.06000 -0.00136 -0.00174 -0.00255 -0.00035 -0.00026 -0.00021 -0.00316 -0.00044 -0.00116 -0.00031 -0.00022 -0.00014 -0.00226 -0.00209 -0.00205 -0.00249 -0.00136 -0.00123
-0.05000 -0.00167 -0.00235 -0.00213 -0.00029 -0.00025 -0.00017 -0.00315 -0.00040 -0.00115 -0.00027 -0.00020 -0.00014 -0.00211 -0.00206 -0.00252 -0.00254 -0.00158 -0.00097
-0.04000 -0.00148 -0.00202 -0.00242 -0.00036 -0.00025 -0.00019 -0.00303 -0.00037 -0.00118 -0.00031 -0.00021 -0.00013 -0.00250 -0.00245 -0.00204 -0.00293 -0.00149 -0.00104
-0.03000 -0.00152 -0.00191 -0.00208 -0.00031 -0.00029 -0.00021 -0.00318 -0.00040 -0.00090 -0.00027 -0.00021 -0.00013 -0.00215 -0.00216 -0.00245 -0.00334 -0.00172 -0.00121
-0.02000 -0.00136 -0.00211 -0.00252 -0.00027 -0.00026 -0.00024 -0.00350 -0.00035 -0.00115 -0.00032 -0.00021 -0.00015 -0.00261 -0.00241 -0.00293 -0.00306 -0.00194 -0.00131
-0.01000 -0.00163 -0.00176 -0.00285 -0.00029 -0.00028 -0.00017 -0.00350 -0.00051 -0.00135 -0.00035 -0.00024 -0.00016 -0.00280 -0.00281 -0.00283 -0.00311 -0.00200 -0.00105
