# Timestamp: 2014-10-08 10:08:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-5
# Layout: inm standard
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 3 6 9 10 11 12 13 14 16 17 18 22 24 28 32
# Areas: 1.0 1.0 0.1 0.1 0.1 0.1 0.5 1.0 1.0 1.0 1.0 0.1 0.1 1.0 1.0
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.10000 -0.00900 -0.01303 -0.00154 -0.00028 -0.00087 -0.00088 -0.00589 -0.00448 -0.01136 -0.00785 -0.01447 -0.00065 -0.00068 -0.01079 -0.00991
-0.09000 -0.01197 -0.01360 -0.00155 -0.00034 -0.00097 -0.00091 -0.00464 -0.00529 -0.01305 -0.00952 -0.01381 -0.00076 -0.00055 -0.01103 -0.00936
-0.08000 -0.00909 -0.01212 -0.00138 -0.00030 -0.00082 -0.00078 -0.00571 -0.00562 -0.01284 -0.00884 -0.01621 -0.00074 -0.00065 -0.00983 -0.01087
-0.07000 -0.00978 -0.01319 -0.00120 -0.00035 -0.00103 -0.00083 -0.00472 -0.00455 -0.01270 -0.00808 -0.01435 -0.00059 -0.00063 -0.00865 -0.01023
-0.06000 -0.00962 -0.01247 -0.00138 -0.00032 -0.00098 -0.00093 -0.00489 -0.00580 -0.00998 -0.00746 -0.01294 -0.00069 -0.00062 -0.01094 -0.01187
-0.05000 -0.00903 -0.01216 -0.00135 -0.00028 -0.00085 -0.00083 -0.00591 -0.00436 -0.01242 -0.00799 -0.01551 -0.00074 -0.00070 -0.00891 -0.00951
-0.04000 -0.01162 -0.01115 -0.00120 -0.00037 -0.00104 -0.00079 -0.00589 -0.00507 -0.01283 -0.00772 -0.01588 -0.00056 -0.00064 -0.00923 -0.01125
-0.03000 -0.01085 -0.01289 -0.00154 -0.00037 -0.00092 -0.00085 -0.00501 -0.00460 -0.01228 -0.00877 -0.01261 -0.00058 -0.00066 -0.00886 -0.00978
-0.02000 -0.00963 -0.01214 -0.00116 -0.00030 -0.00102 -0.00093 -0.00453 -0.00568 -0.01026 -0.00907 -0.01459 -0.00067 -0.00068 -0.01074 -0.00963
-0.01000 -0.00917 -0.01211 -0.00115 -0.00032 -0.00096 -0.00082 -0.00594 -0.00450 -0.01034 -0.00806 -0.01571 -0.00070 -0.00054 -0.00996 -0.00988
-0.00000 -0.01079 -0.01042 -0.00136 -0.00035 -0.00100 -0.00080 -0.00585 -0.00524 -0.00995 -0.00733 -0.01303 -0.00060 -0.00057 -0.01100 -0.01007
0.01000 -0.01099 -0.01286 -0.00114 -0.00035 -0.00080 -0.00078 -0.00555 -0.00492 -0.01211 -0.00731 -0.01609 -0.00057 -0.00067 -0.00936 -0.00911
0.02000 -0.00888 -0.01341 -0.00142 -0.00029 -0.00090 -0.00077 -0.00591 -0.00580 -0.01270 -0.00794 -0.01327 -0.00055 -0.00066 -0.00960 -0.01160
0.03000 -0.01138 -0.01273 -0.00123 -0.00033 -0.00102 -0.00074 -0.00469 -0.00442 -0.01170 -0.00891 -0.01420 -0.00061 -0.00063 -0.01126 -0.00944
0.04000 -0.01026 -0.01205 -0.00125 -0.00034 -0.00092 -0.00085 -0.00548 -0.00477 -0.01025 -0.00870 -0.01425 -0.00073 -0.00058 -0.01069 -0.00995
0.05000 -0.01089 -0.01293 -0.00116 -0.00030 -0.00080 -0.00080 -0.00502 -0.00447 -0.01258 -0.00872 -0.01401 -0.00063 -0.00070 -0.01145 -0.01151
0.06000 -0.01198 -0.01360 -0.00122 -0.00028 -0.00097 -0.00078 -0.00485 -0.00458 -0.01222 -0.00896 -0.01570 -0.00066 -0.00055 -0.00913 -0.00961
0.07000 -0.01048 -0.01077 -0.00136 -0.00035 -0.00093 -0.00081 -0.00562 -0.00490 -0.01053 -0.00793 -0.01348 -0.00071 -0.00056 -0.00897 -0.01162
0.08000 -0.01012 -0.01122 -0.00150 -0.00035 -0.00100 -0.00080 -0.00551 -0.00572 -0.01326 -0.00814 -0.01627 -0.00056 -0.00063 -0.01073 -0.00945
0.09000 -0.01084 -0.01173 -0.00150 -0.00031 -0.00085 -0.00081 -0.00530 -0.00482 -0.00986 -0.00889 -0.01490 -0.00063 -0.00068 -0.00891 -0.01157
0.10000 -0.01009 -0.01042 -0.00113 -0.00032 -0.00101 -0.00096 -0.00560 -0.00500 -0.01089 -0.00973 -0.01312 -0.00056 -0.00062 -0.00877 -0.01187
0.11000 -0.00881 -0.01134 -0.00114 -0.00036 -0.00078 -0.00075 -0.00459 -0.00473 -0.01171 -0.00747 -0.01629 -0.00055 -0.00070 -0.00880 -0.01207
0.12000 -0.01055 -0.01184 -0.00130 -0.00037 -0.00083 -0.00075 -0.00500 -0.00518 -0.01328 -0.00955 -0.01294 -0.00056 -0.00063 -0.01144 -0.01142
0.13000 -0.01110 -0.01353 -0.00149 -0.00030 -0.00094 -0.00074 -0.00557 -0.00499 -0.01245 -0.00862 -0.01354 -0.00060 -0.00055 -0.00950 -0.01167
0.14000 -0.00894 -0.01051 -0.00126 -0.00033 -0.00095 -0.00087 -0.00499 -0.00587 -0.01121 -0.00884 -0.01399 -0.00061 -0.00060 -0.01028 -0.01059
0.15000 -0.01036 -0.01237 -0.00125 -0.00028 -0.00102 -0.00082 -0.00472 -0.00556 -0.01121 -0.00840 -0.01457 -0.00053 -0.00056 -0.00990 -0.00978
0.16000 -0.00967 -0.01018 -0.00148 -0.00030 -0.00095 -0.00078 -0.00480 -0.00581 -0.01022 -0.00950 -0.01243 -0.00071 -0.00062 -0.01061 -0.00963
0.17000 -0.00879 -0.01146 -0.00139 -0.00036 -0.00083 -0.00080 -0.00487 -0.00449 -0.01027 -0.00933 -0.01393 -0.00060 -0.00053 -0.00992 -0.00969
0.18000 -0.00910 -0.01355 -0.00137 -0.00032 -0.00077 -0.00074 -0.00568 -0.00518 -0.00994 -0.00872 -0.01255 -0.00060 -0.00065 -0.01137 -0.01169
0.19000 -0.00986 -0.01265 -0.00126 -0.00033 -0.00097 -0.00073 -0.00462 -0.00527 -0.01329 -0.00770 -0.01394 -0.00054 -0.00066 -0.00987 -0.01221
0.20000 -0.01139 -0.01231 -0.00140 -0.00032 -0.00099 -0.00087 -0.00529 -0.00533 -0.01065 -0.00873 -0.01482 -0.00058 -0.00055 -0.01088 -0.00995
0.21000 -0.01049 -0.01062 -0.00140 -0.00030 -0.00094 -0.00089 -0.00454 -0.00569 -0.01106 -0.00860 -0.01342 -0.00059 -0.00069 -0.01118 -0.01112
0.22000 -0.00875 -0.01314 -0.00112 -0.00034 -0.00093 -0.00093 -0.00504 -0.00448 -0.01220 -0.00900 -0.01575 -0.00069 -0.00061 -0.01042 -0.01160
0.23000 -0.01081 -0.01181 -0.00122 -0.00036 -0.00078 -0.00071 -0.00544 -0.00548 -0.01045 -0.00927 -0.01452 -0.00065 -0.00052 -0.01123 -0.00943
0.24000 -0.00885 -0.01012 -0.00115 -0.00034 -0.00093 -0.00078 -0.00548 -0.00568 -0.01153 -0.00822 -0.01274 -0.00066 -0.00062 -0.00911 -0.01091
0.25000 -0.01130 -0.01067 -0.00126 -0.00029 -0.00093 -0.00073 -0.00538 -0.00560 -0.01048 -0.00914 -0.01251 -0.00064 -0.00068 -0.01122 -0.01081
0.26000 -0.00963 -0.01019 -0.00105 -0.00030 -0.00085 -0.00095 -0.00519 -0.00560 -0.01058 -0.00767 -0.01444 -0.00066 -0.00060 -0.01019 -0.00936
0.27000 -0.00877 -0.01034 -0.00144 -0.00028 -0.00085 -0.00076 -0.00553 -0.00486 -0.01066 -0.00978 -0.01586 -0.00058 -0.00053 -0.00901 -0.01163
0.28000 -0.01041 -0.01227 -0.00121 -0.00029 -0.00086 -0.00093 -0.00445 -0.00516 -0.01025 -0.00837 -0.01549 -0.00057 -0.00065 -0.00890 -0.01037
0.29000 -0.01068 -0.01358 -0.00106 -0.00034 -0.00074 -0.00077 -0.00500 -0.00560 -0.01228 -0.00722 -0.01318 -0.00059 -0.00052 -0.00990 -0.01123
0.30000 -0.00854 -0.01038 -0.00142 -0.00036 -0.00088 -0.00075 -0.00499 -0.00526 -0.01247 -0.00833 -0.01465 -0.00059 -0.00052 -0.01006 -0.01039
0.31000 -0.00972 -0.01054 -0.00104 -0.00036 -0.00081 -0.00077 -0.00468 -0.00468 -0.01043 -0.00923 -0.01612 -0.00054 -0.00064 -0.01058 -0.01186
0.32000 -0.01006 -0.01168 -0.00136 -0.00028 -0.00073 -0.00076 -0.00547 -0.00583 -0.01205 -0.00791 -0.01409 -0.00064 -0.00055 -0.00906 -0.01020
0.33000 -0.01047 -0.01102 -0.00135 -0.00030 -0.00080 -0.00087 -0.00587 -0.00536 -0.01270 -0.00822 -0.01473 -0.00054 -0.00062 -0.01121 -0.00916
0.34000 -0.00825 -0.01262 -0.00137 -0.00036 -0.00075 -0.00072 -0.00525 -0.00514 -0.01258 -0.00721 -0.01409 -0.00048 -0.00066 -0.00945 -0.00992
