# Timestamp: 2014-10-08 10:09:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-6
# Layout: inm standard
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 1 2 4 6 13 16 17 18 22 24 26 29 32
# Areas: 1.0 1.0 1.0 1.0 0.5 1.0 1.0 1.0 0.1 0.1 0.5 1.0 1.0
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.10000 -0.00885 -0.00607 -0.00797 -0.00533 -0.00283 -0.00681 -0.00883 -0.00460 -0.00193 -0.00074 -0.00656 -0.00929 -0.00971
-0.09000 -0.01128 -0.00651 -0.00677 -0.00639 -0.00290 -0.00600 -0.00984 -0.00505 -0.00176 -0.00083 -0.00641 -0.00897 -0.01073
-0.08000 -0.01012 -0.00658 -0.00747 -0.00585 -0.00375 -0.00620 -0.01020 -0.00528 -0.00147 -0.00077 -0.00604 -0.00734 -0.01106
-0.07000 -0.00902 -0.00597 -0.00808 -0.00475 -0.00318 -0.00601 -0.01027 -0.00521 -0.00157 -0.00064 -0.00601 -0.00977 -0.01023
-0.06000 -0.01082 -0.00726 -0.00705 -0.00473 -0.00354 -0.00689 -0.00906 -0.00433 -0.00160 -0.00075 -0.00586 -0.00829 -0.01147
-0.05000 -0.01030 -0.00614 -0.00859 -0.00641 -0.00285 -0.00621 -0.01032 -0.00428 -0.00191 -0.00068 -0.00602 -0.00830 -0.01066
-0.04000 -0.00983 -0.00617 -0.00788 -0.00527 -0.00370 -0.00735 -0.01018 -0.00482 -0.00159 -0.00070 -0.00668 -0.00747 -0.00987
-0.03000 -0.01134 -0.00757 -0.00755 -0.00477 -0.00378 -0.00649 -0.00779 -0.00513 -0.00169 -0.00082 -0.00565 -0.00825 -0.00975
-0.02000 -0.01015 -0.00724 -0.00721 -0.00638 -0.00291 -0.00749 -0.00994 -0.00528 -0.00158 -0.00077 -0.00663 -0.00846 -0.00962
-0.01000 -0.01042 -0.00735 -0.00793 -0.00515 -0.00293 -0.00643 -0.01016 -0.00394 -0.00159 -0.00065 -0.00670 -0.00778 -0.01260
-0.00000 -0.01040 -0.00743 -0.00745 -0.00543 -0.00355 -0.00650 -0.00831 -0.00456 -0.00167 -0.00078 -0.00573 -0.00923 -0.01141
0.01000 -0.01073 -0.00646 -0.00869 -0.00517 -0.00295 -0.00744 -0.00930 -0.00387 -0.00160 -0.00073 -0.00625 -0.00794 -0.01219
0.02000 -0.01181 -0.00581 -0.00793 -0.00632 -0.00371 -0.00641 -0.00896 -0.00380 -0.00152 -0.00073 -0.00498 -0.00928 -0.01232
0.03000 -0.00983 -0.00748 -0.00871 -0.00500 -0.00317 -0.00778 -0.00792 -0.00400 -0.00190 -0.00065 -0.00506 -0.00775 -0.01157
0.04000 -0.01064 -0.00699 -0.00821 -0.00532 -0.00370 -0.00782 -0.00998 -0.00443 -0.00158 -0.00069 -0.00516 -0.00905 -0.01247
0.05000 -0.00929 -0.00611 -0.00765 -0.00566 -0.00320 -0.00579 -0.00903 -0.00518 -0.00179 -0.00072 -0.00575 -0.00813 -0.01036
0.06000 -0.00985 -0.00588 -0.00793 -0.00572 -0.00375 -0.00653 -0.00781 -0.00414 -0.00163 -0.00074 -0.00506 -0.00893 -0.01114
0.07000 -0.00971 -0.00717 -0.00779 -0.00629 -0.00355 -0.00618 -0.00922 -0.00405 -0.00196 -0.00082 -0.00627 -0.00817 -0.01236
0.08000 -0.01036 -0.00697 -0.00818 -0.00618 -0.00326 -0.00634 -0.00997 -0.00458 -0.00160 -0.00066 -0.00613 -0.00736 -0.01107
0.09000 -0.00999 -0.00707 -0.00714 -0.00490 -0.00311 -0.00657 -0.00770 -0.00412 -0.00165 -0.00085 -0.00584 -0.00771 -0.01220
0.10000 -0.01078 -0.00747 -0.00872 -0.00520 -0.00289 -0.00667 -0.00914 -0.00450 -0.00176 -0.00069 -0.00597 -0.00822 -0.01210
0.11000 -0.00924 -0.00636 -0.00851 -0.00507 -0.00368 -0.00749 -0.01007 -0.00449 -0.00189 -0.00086 -0.00620 -0.00943 -0.01022
0.12000 -0.01047 -0.00719 -0.00843 -0.00526 -0.00364 -0.00634 -0.00978 -0.00388 -0.00172 -0.00080 -0.00626 -0.00936 -0.01237
0.13000 -0.00995 -0.00678 -0.00741 -0.00481 -0.00366 -0.00681 -0.00879 -0.00438 -0.00160 -0.00071 -0.00514 -0.00806 -0.01163
0.14000 -0.00989 -0.00657 -0.00738 -0.00587 -0.00355 -0.00674 -0.00752 -0.00436 -0.00174 -0.00073 -0.00563 -0.00943 -0.00937
0.15000 -0.00892 -0.00634 -0.00659 -0.00515 -0.00336 -0.00671 -0.00938 -0.00437 -0.00157 -0.00076 -0.00514 -0.00838 -0.01206
0.16000 -0.01031 -0.00578 -0.00742 -0.00581 -0.00348 -0.00756 -0.00982 -0.00397 -0.00185 -0.00077 -0.00629 -0.00836 -0.01072
0.17000 -0.01006 -0.00612 -0.00738 -0.00572 -0.00328 -0.00590 -0.00896 -0.00415 -0.00146 -0.00073 -0.00585 -0.00751 -0.01123
0.18000 -0.00963 -0.00668 -0.00826 -0.00489 -0.00342 -0.00686 -0.00794 -0.00443 -0.00181 -0.00070 -0.00647 -0.00981 -0.01240
0.19000 -0.01089 -0.00650 -0.00727 -0.00591 -0.00344 -0.00761 -0.01023 -0.00369 -0.00173 -0.00064 -0.00639 -0.00885 -0.01039
0.20000 -0.01001 -0.00669 -0.00738 -0.00544 -0.00352 -0.00654 -0.00968 -0.00352 -0.00149 -0.00080 -0.00608 -0.00835 -0.01131
0.21000 -0.00970 -0.00594 -0.00788 -0.00628 -0.00303 -0.00670 -0.00870 -0.00414 -0.00163 -0.00084 -0.00649 -0.00734 -0.01225
0.22000 -0.00961 -0.00643 -0.00836 -0.00487 -0.00282 -0.00687 -0.00993 -0.00402 -0.00161 -0.00081 -0.00615 -0.00883 -0.01064
0.23000 -0.01166 -0.00693 -0.00650 -0.00604 -0.00283 -0.00683 -0.00788 -0.00460 -0.00179 -0.00078 -0.00610 -0.00869 -0.01119
0.24000 -0.01167 -0.00597 -0.00794 -0.00554 -0.00316 -0.00705 -0.00989 -0.00363 -0.00183 -0.00073 -0.00571 -0.00745 -0.00952
0.25000 -0.00924 -0.00751 -0.00661 -0.00491 -0.00310 -0.00782 -0.00856 -0.00376 -0.00183 -0.00083 -0.00541 -0.00832 -0.01005
0.26000 -0.01098 -0.00664 -0.00800 -0.00476 -0.00312 -0.00651 -0.00812 -0.00343 -0.00166 -0.00069 -0.00503 -0.00931 -0.01048
0.27000 -0.01070 -0.00603 -0.00803 -0.00478 -0.00322 -0.00651 -0.00787 -0.00347 -0.00149 -0.00067 -0.00539 -0.00814 -0.01235
0.28000 -0.01035 -0.00629 -0.00657 -0.00564 -0.00364 -0.00678 -0.00859 -0.00394 -0.00145 -0.00068 -0.00605 -0.00969 -0.01065
0.29000 -0.01093 -0.00654 -0.00770 -0.00482 -0.00323 -0.00637 -0.00808 -0.00328 -0.00161 -0.00072 -0.00563 -0.00771 -0.01104
0.30000 -0.01104 -0.00738 -0.00676 -0.00486 -0.00322 -0.00715 -0.00809 -0.00458 -0.00153 -0.00076 -0.00618 -0.00802 -0.00983
0.31000 -0.01089 -0.00588 -0.00834 -0.00557 -0.00339 -0.00590 -0.00789 -0.00430 -0.00178 -0.00076 -0.00515 -0.00755 -0.00959
0.32000 -0.01098 -0.00615 -0.00803 -0.00505 -0.00372 -0.00698 -0.00965 -0.00356 -0.00165 -0.00081 -0.00560 -0.00743 -0.01023
0.33000 -0.01116 -0.00680 -0.00691 -0.00476 -0.00309 -0.00692 -0.00852 -0.00326 -0.00164 -0.00077 -0.00524 -0.00935 -0.01018
0.34000 -0.01149 -0.00682 -0.00855 -0.00615 -0.00326 -0.00632 -0.00787 -0.00402 -0.00166 -0.00080 -0.00548 -0.00752 -0.00981
0.35000 -0.00973 -0.00752 -0.00829 -0.00611 -0.00350 -0.00637 -0.00842 -0.00403 -0.00143 -0.00073 -0.00496 -0.00932 -0.01043
0.36000 -0.01025 -0.00661 -0.00691 -0.00504 -0.00365 -0.00600 -0.00763 -0.00361 -0.00150 -0.00074 -0.00523 -0.00925 -0.01184
0.37000 -0.01054 -0.00652 -0.00812 -0.00533 -0.00315 -0.00633 -0.00909 -0.00333 -0.00142 -0.00076 -0.00517 -0.00972 -0.01011
0.38000 -0.00905 -0.00653 -0.00810 -0.00604 -0.00323 -0.00603 -0.00876 -0.00428 -0.00176 -0.00063 -0.00609 -0.00738 -0.00891
0.39000 -0.01125 -0.00621 -0.00697 -0.00601 -0.00330 -0.00595 -0.00916 -0.00358 -0.00148 -0.00072 -0.00600 -0.00776 -0.01189
0.40000 -0.01059 -0.00647 -0.00792 -0.00502 -0.00341 -0.00587 -0.00839 -0.00378 -0.00186 -0.00069 -0.00552 -0.00878 -0.00970
0.41000 -0.00891 -0.00655 -0.00780 -0.00495 -0.00354 -0.00700 -0.00831 -0.00289 -0.00158 -0.00073 -0.00595 -0.00726 -0.01060
0.42000 -0.00940 -0.00634 -0.00714 -0.00611 -0.00345 -0.00669 -0.00727 -0.00412 -0.00150 -0.00078 -0.00554 -0.00747 -0.00877
0.43000 -0.00906 -0.00707 -0.00675 -0.00544 -0.00301 -0.00606 -0.00951 -0.00398 -0.00145 -0.00076 -0.00499 -0.00881 -0.00910
0.44000 -0.01154 -0.00594 -0.00734 -0.00522 -0.00360 -0.00652 -0.00759 -0.00291 -0.00139 -0.00062 -0.00536 -0.00818 -0.01047
0.45000 -0.01000 -0.00691 -0.00724 -0.00596 -0.00348 -0.00629 -0.00936 -0.00297 -0.00143 -0.00059 -0.00504 -0.00919 -0.00966
0.46000 -0.01008 -0.00608 -0.00817 -0.00531 -0.00312 -0.00702 -0.00794 -0.00283 -0.00138 -0.00067 -0.00524 -0.00730 -0.00996
0.47000 -0.01070 -0.00662 -0.00638 -0.00610 -0.00318 -0.00622 -0.00793 -0.00357 -0.00165 -0.00060 -0.00552 -0.00960 -0.00981
0.48000 -0.01024 -0.00565 -0.00665 -0.00499 -0.00341 -0.00598 -0.00867 -0.00378 -0.00135 -0.00078 -0.00559 -0.00752 -0.01085
0.49000 -0.00964 -0.00605 -0.00739 -0.00603 -0.00299 -0.00772 -0.00806 -0.00244 -0.00164 -0.00075 -0.00563 -0.00827 -0.01107
0.50000 -0.00903 -0.00654 -0.00650 -0.00473 -0.00365 -0.00692 -0.00674 -0.00239 -0.00177 -0.00065 -0.00561 -0.00783 -0.00847
0.51000 -0.00965 -0.00712 -0.00759 -0.00561 -0.00338 -0.00712 -0.00856 -0.00273 -0.00138 -0.00068 -0.00529 -0.00741 -0.01004
0.52000 -0.01104 -0.00689 -0.00838 -0.00558 -0.00309 -0.00723 -0.00855 -0.00327 -0.00160 -0.00065 -0.00513 -0.00788 -0.00912
0.53000 -0.01058 -0.00566 -0.00808 -0.00590 -0.00302 -0.00712 -0.00887 -0.00225 -0.00150 -0.00069 -0.00595 -0.00935 -0.01061
0.54000 -0.00883 -0.00674 -0.00824 -0.00458 -0.00320 -0.00611 -0.00762 -0.00308 -0.00173 -0.00060 -0.00578 -0.00863 -0.00787
0.55000 -0.01095 -0.00637 -0.00799 -0.00594 -0.00278 -0.00663 -0.00781 -0.00240 -0.00131 -0.00071 -0.00529 -0.00903 -0.00793
0.56000 -0.01140 -0.00572 -0.00700 -0.00501 -0.00334 -0.00723 -0.00782 -0.00267 -0.00138 -0.00062 -0.00642 -0.00789 -0.00853
0.57000 -0.01030 -0.00560 -0.00654 -0.00592 -0.00284 -0.00595 -0.00730 -0.00192 -0.00119 -0.00069 -0.00587 -0.00804 -0.00815
0.58000 -0.00906 -0.00612 -0.00782 -0.00563 -0.00300 -0.00648 -0.00728 -0.00190 -0.00143 -0.00061 -0.00510 -0.00746 -0.00996
0.59000 -0.01094 -0.00510 -0.00643 -0.00433 -0.00284 -0.00615 -0.00727 -0.00254 -0.00117 -0.00062 -0.00604 -0.00885 -0.00977
0.60000 -0.00996 -0.00643 -0.00761 -0.00546 -0.00271 -0.00665 -0.00663 -0.00258 -0.00134 -0.00049 -0.00581 -0.00840 -0.00890
0.61000 -0.01059 -0.00666 -0.00689 -0.00480 -0.00323 -0.00618 -0.00619 -0.00163 -0.00106 -0.00057 -0.00530 -0.00659 -0.00776
0.62000 -0.00928 -0.00491 -0.00579 -0.00501 -0.00276 -0.00639 -0.00645 -0.00228 -0.00115 -0.00046 -0.00583 -0.00830 -0.00675
0.63000 -0.00923 -0.00595 -0.00683 -0.00437 -0.00257 -0.00726 -0.00746 -0.00195 -0.00102 -0.00052 -0.00584 -0.00812 -0.00902
0.64000 -0.01017 -0.00564 -0.00557 -0.00452 -0.00274 -0.00623 -0.00664 -0.00136 -0.00131 -0.00060 -0.00441 -0.00632 -0.00843
0.65000 -0.00988 -0.00434 -0.00702 -0.00501 -0.00301 -0.00638 -0.00675 -0.00168 -0.00119 -0.00056 -0.00549 -0.00604 -0.00737
0.66000 -0.00824 -0.00453 -0.00617 -0.00400 -0.00267 -0.00705 -0.00519 -0.00147 -0.00118 -0.00058 -0.00435 -0.00697 -0.00664
0.67000 -0.00928 -0.00511 -0.00638 -0.00454 -0.00259 -0.00581 -0.00454 -0.00207 -0.00118 -0.00037 -0.00498 -0.00791 -0.00544
0.68000 -0.00839 -0.00449 -0.00492 -0.00402 -0.00300 -0.00586 -0.00513 -0.00140 -0.00110 -0.00048 -0.00466 -0.00621 -0.00522
0.69000 -0.00694 -0.00488 -0.00603 -0.00417 -0.00220 -0.00559 -0.00386 -0.00081 -0.00078 -0.00048 -0.00373 -0.00753 -0.00512
0.70000 -0.00780 -0.00442 -0.00433 -0.00472 -0.00268 -0.00565 -0.00508 -0.00197 -0.00075 -0.00033 -0.00460 -0.00683 -0.00440
0.71000 -0.00709 -0.00389 -0.00469 -0.00287 -0.00215 -0.00531 -0.00295 -0.00193 -0.00104 -0.00041 -0.00345 -0.00508 -0.00578
0.72000 -0.00737 -0.00462 -0.00445 -0.00289 -0.00204 -0.00420 -0.00473 -0.00074 -0.00087 -0.00044 -0.00373 -0.00577 -0.00565
0.73000 -0.00705 -0.00396 -0.00425 -0.00354 -0.00185 -0.00519 -0.00443 -0.00124 -0.00085 -0.00019 -0.00258 -0.00543 -0.00418
0.74000 -0.00469 -0.00378 -0.00399 -0.00320 -0.00196 -0.00457 -0.00304 -0.00053 -0.00085 -0.00036 -0.00344 -0.00525 -0.00358
0.75000 -0.00599 -0.00240 -0.00304 -0.00171 -0.00144 -0.00469 -0.00209 -0.00057 -0.00032 -0.00030 -0.00304 -0.00502 -0.00225
0.76000 -0.00405 -0.00209 -0.00266 -0.00205 -0.00080 -0.00296 -0.00330 -0.00022 -0.00063 -0.00011 -0.00271 -0.00350 -0.00217
0.77000 -0.00446 -0.00170 -0.00313 -0.00153 -0.00099 -0.00263 -0.00238 -0.00055 -0.00053 -0.00017 -0.00212 -0.00216 -0.00372
0.78000 -0.00264 -0.00120 -0.00201 -0.00114 -0.00069 -0.00228 0.00041 -0.00072 -0.00015 -0.00021 -0.00214 -0.00245 -0.00044
0.79000 0.00004 0.00008 -0.00030 0.00013 -0.00022 -0.00195 -0.00135 -0.00008 -0.00015 -0.00013 -0.00101 -0.00002 -0.00093
0.80000 -0.00065 -0.00095 -0.00110 0.00080 -0.00042 -0.00011 0.00138 0.00065 -0.00015 -0.00003 -0.00057 -0.00067 0.00152
0.81000 0.00253 0.00127 0.00142 0.00062 0.00038 0.00089 0.00082 0.00031 0.00027 0.00004 0.00063 0.00154 0.00236
0.82000 0.00234 0.00092 0.00174 0.00240 0.00124 0.00342 0.00040 -0.00013 0.00039 0.00016 0.00077 0.00317 0.00222
0.83000 0.00512 0.00265 0.00196 0.00295 0.00198 0.00564 0.00308 0.00086 0.00055 0.00025 0.00304 0.00404 0.00396
0.84000 0.00627 0.00308 0.00367 0.00274 0.00239 0.00666 0.00259 0.00010 0.00063 0.00035 0.00336 0.00444 0.00278
0.85000 0.00990 0.00488 0.00512 0.00393 0.00289 0.00939 0.00458 0.00128 0.00077 0.00035 0.00419 0.00630 0.00649
0.86000 0.01208 0.00497 0.00690 0.00623 0.00315 0.01345 0.00388 0.00052 0.00104 0.00035 0.00642 0.00920 0.00650
0.87000 0.01417 0.00796 0.00926 0.00727 0.00484 0.01611 0.00636 0.00049 0.00148 0.00043 0.00875 0.01122 0.00870
0.88000 0.01876 0.00874 0.01076 0.00850 0.00506 0.02110 0.00606 0.00161 0.00141 0.00068 0.01062 0.01332 0.00936
0.89000 0.02244 0.00971 0.01318 0.01051 0.00646 0.02733 0.00895 0.00176 0.00203 0.00066 0.01282 0.01595 0.01236
0.90000 0.02965 0.01246 0.01581 0.01401 0.00791 0.03230 0.01045 0.00201 0.00211 0.00084 0.01376 0.02084 0.01124
0.91000 0.03375 0.01520 0.01675 0.01594 0.00956 0.04169 0.00943 0.00121 0.00220 0.00090 0.01645 0.02355 0.01477
0.92000 0.03987 0.01784 0.02043 0.01799 0.01046 0.04921 0.01220 0.00258 0.00275 0.00101 0.01965 0.02839 0.01644
0.93000 0.04825 0.02021 0.02499 0.02228 0.01244 0.06029 0.01447 0.00166 0.00332 0.00125 0.02360 0.03260 0.01844
0.94000 0.05684 0.02180 0.02674 0.02528 0.01494 0.07375 0.01513 0.00283 0.00326 0.00133 0.02837 0.03664 0.02200
0.95000 0.06526 0.02540 0.03150 0.02908 0.01740 0.08973 0.01677 0.00247 0.00406 0.00147 0.03188 0.04354 0.02366
0.96000 0.07430 0.02989 0.03523 0.03354 0.01937 0.10743 0.01809 0.00298 0.00416 0.00166 0.03667 0.04884 0.02586
0.97000 0.08744 0.03323 0.04226 0.03785 0.02221 0.12978 0.02186 0.00321 0.00460 0.00174 0.04273 0.05793 0.03043
0.98000 0.10131 0.03815 0.04631 0.04403 0.02542 0.15418 0.02122 0.00350 0.00553 0.00207 0.04897 0.06656 0.03160
0.99000 0.11785 0.04297 0.05397 0.05001 0.02969 0.18600 0.02551 0.00371 0.00615 0.00206 0.05651 0.07536 0.03558
1.00000 0.13444 0.04800 0.06019 0.05809 0.03425 0.22327 0.02729 0.00399 0.00655 0.00231 0.06534 0.08687 0.04134
